user,text
SarahKagingo,President #Museveni: I refused to negotiate with oil companies until I trained our scientists between 1986 and 1989... #UGDebate16
SarahKagingo,#Uganda's Olivia Byanyima one of lionesses of #Africa exciting world with Afroluxe brands http://www.lionessesofafrica.com/blog/2016/2/8/meet-22-women-entrepreneurs-redefining-african-luxury-and-exciting-the-world-with-afroluxe-brandsÂ â€¦pic.twitter.com/VNYdQ8ssqx
MtwahaN,"In Zimbabwe, a man appeared and announced to the villagers that he would buy monkeys for $20.00 each.
The... http://fb.me/3CsHzztjTÂ "
qataharraymond,@spartakussug District returning officers declare the winner of the MP race.
Jonahbyaru1,Candidate Museveni greets other candidates as he arrives at the podium @#UGDebate16
Jonahbyaru1,A daughter of an ambassador. Does it add up to her votes seriously?  #UGDebate16
Snduhukire,@Samwyri Constitution doesn't allow for that.
jkkarungi,@Lebz_Sr that she is.
kasujja,Naye Hashim. You write an Op Ed about who you are voting for and then you show up expecting to vote yesterday? https://twitter.com/Hashim11/status/700584656073322497Â â€¦
AnishaUwase,I am using your money all of you whose Mobile Money is down.
MtwahaN,"Life is funny. It goes on even when you refuse to tow along. Defiance won't help you in anyway, after all life... http://fb.me/2DkNomixyÂ "
qataharraymond,In Defense Of The Afropolitan Narrative http://tmsruge.com/in-defense-of-the-afropolitan-narrative/Â â€¦ @tmsruge . Good one for an evening
Jonahbyaru1,#UGDebate16https://twitter.com/ykayiwa/status/698622084650561536Â â€¦
qataharraymond,Let's take a moment to let in the fact that Facebook is 7 times our GDP & employs a popn less than that of our least populated district
MtwahaN,"Yoweri Kaguta Museveni has again shot down the malarkey of 30 years in power: ""I don't elect myself."" 
#UgDebate16"
kasujja,"#Uganda
I'm dizzy from the numbers doing the rounds.. claims and counter claims...even my own maths isn't making sense...so I'll  just wait"
SarahKagingo,"Candidate Maby worst decision: ""When I carried out mock elections and I was believed. Have not released results up to now"" #UGDebate16"
MtwahaN,"Yoweri Kaguta Museveni is different from Mabiriizi How? 
He starts small and big. 
Mabiriizi starts at the top... http://fb.me/23eIijqI8Â "
CynthiaNyamai,@KagutaMuseveni :The cause of war is ideological. We have peace because we defeated those who wanted insecurity #UGDebate16 #UgandaDecides
Snduhukire,Access Granted. #UgandaDecidespic.twitter.com/MMYfPCfcpV
SarahKagingo,"President #Museveni agrees with first respondent Bwanika: Yes, we should have pulled out of #ICC #UGDebate16"
AnishaUwase,@VillageBelle256 byepic.twitter.com/MslbSma07q
Snduhukire,@DeogratiasOlowo I'm indisposed but there is an able team there! Keep watching @ntvuganda
Jonahbyaru1,Museveni raises the issue of United States of Africa on integration @KagutaMuseveni #UGDebate16
Jonahbyaru1,Everyone will vote if found on the queue regardless of time of closure #IChoosePeaceUG #UgandaDecides
Jonahbyaru1,We beat them even in beauty naye @KagutaMuseveni and @NRMOnline mukikoze  #UGDebate16pic.twitter.com/esdL5UtrRj
Snduhukire,Ballot Papers enroute Butaleja District @ntvuganda #UgandaDecidespic.twitter.com/TclMTQkeFH
kacungira,Asante George RT @njabiah: @Women4Africa  Kudos @kacungira
SarahKagingo,Campaigns end. Please choose peace. Wish you #ViolenceFreePolls #UgandaDecides #UgWomen4Peace
jkkarungi,"haya...beyond feb 2016, come and seehttps://twitter.com/AFPAfrica/status/699907810486853632Â â€¦"
MtwahaN,"@NRMOnline 
M7; I am a staunch Christian but I can't baptize because it's not my mandate. The same applies for... http://fb.me/2A3ZgnnXEÂ "
AnishaUwase,@VillageBelle256 I will invite you to his swearing in
AnishaUwase,"""Those who want to cause chaos, try it anywhere else not Uganda."" - Museveni #UgandaDecidespic.twitter.com/eHg2khScRG"
jkkarungi,Will His Excellency also be in the same room....seeing as he is not used to Kayola things....https://twitter.com/UGPresDebate/status/697752867315322880Â â€¦
Jonahbyaru1,None of the presidential candidate can sing the East Africa anthem but @KagutaMuseveni he wins  #UGDebate16
qataharraymond,Entering my 42nd hour of no sleep and the fatigue seems to be setting in #UgandaDecides
jkkarungi,@benmwine You want to go?
MtwahaN,"Charisma and control give Museveni advantage in Uganda election
Flavia Nagaddya has no doubt that Yoweri... http://fb.me/T7XH8GoeÂ "
qataharraymond,Bits and pieces of scrambled and shelved information on our history are being brought out at #UGDebate16
Jonahbyaru1,Hahahahahaha there we go @KagutaMuseveni is winning the debate #UGDebate16pic.twitter.com/DAlu7i94Be
MtwahaN,#SteadyProgresspic.twitter.com/mW0BPydF1C
CynthiaNyamai,Eish ! Kyalya ! The topic is foreign policy but as usual you came with your own topic ! How to attack Indians!!!  #UGDebate16 #UgandaDecides
kasujja,"#Uganda 
If you burn your house... with you in it... you burn too... and if you have a family..."
qataharraymond,Fresh standoff ensues in tally centre of Kasese after results putting Defence MInister Crispus Kiyonga are questioned by FDC #UgandaDecides
AnishaUwase,@drstellanyanzi call @UgandaEc about your polling station . Its faster. I got minehttps://twitter.com/srwakoojo/status/699870904529108993Â â€¦
jkkarungi,@GORDONMOGUL You think that is funny? How sad.
SarahKagingo,MV Kyoga ferry connects Nakasongola district to Amolatar district #UgandaDecidespic.twitter.com/ymMuiMDq5s
MtwahaN,"DEAR #STEADYPROGRESS FAMILY, THERE IS NOTHING LIKE WE HAVE ALREADY WON THIS ELECTION. JUST WAKE UP TOMORROW, GO... http://fb.me/7UfHsSk0pÂ "
qataharraymond,"@Daniel_Finnan yes, on MTN servoce but through a VPN"
AnishaUwase,The Man with the BIG EYES sees this as a business opportunity that's only his not even anyother FDC member https://twitter.com/VillageBelle256/status/698159642917134340Â â€¦
kacungira,Thanks!https://twitter.com/DavidDmaestro/status/697801425577967616Â â€¦
MtwahaN,@KagutaMuseveni I ask you to go cast your vote for the Old Man with a hat and all NRM flag bearers on Thursday... http://fb.me/7Esn8IIntÂ 
Snduhukire,Kyalya!! Kyalya!! Henewe.
jkkarungi,Final Wordshttps://twitter.com/SadHappyAmazing/status/695774530799710208Â â€¦
MtwahaN,Wonderful.....get this app. http://fb.me/2pzqrKRJcÂ 
Jonahbyaru1,"When violence comes,  it's very hard to specify victimization. The whole country will fall a victim. Young... http://fb.me/SrjjAZeTÂ "
jkkarungi,I heard there were delays in Kampala and that some fellows were trying to distribute money but they are being arrested. M7
jkkarungi,a clap on the back to say...good job?? :)https://twitter.com/ewaiswa/status/697796837013643264Â â€¦
AnishaUwase,Bakutegeddepic.twitter.com/JPIoNSVwMf
jkkarungi,"@UgGirlMaria @kullein @nevender hahaha, laughs and runs away....leave me alone, i have too many reality shows to keep me busy"
kasujja,"President Museveni...zero chills... eh! Here to talk about  ""Uganda not Fiction"""
kacungira,Hehehttps://twitter.com/JosephOwino/status/700241452136341504Â â€¦
MtwahaN,There guys are not fair. They have postponed the interviews till 9th of March. Imagine they even didn't... http://fb.me/7vzYWiUhXÂ 
jkkarungi,"The day is 18th Feb...Looks at ballot paper...looks around, stares at EC officialpic.twitter.com/u65Tpu6omV"
kasujja,Now.. looks like the diplomacy is out the window. What will Besigye say next? #UGDebate16
kasujja,"Ministers Kajura, Alupo, Akol, Muhwezi voted outhttps://shar.es/14FwoFÂ "
Jonahbyaru1,"I can't afford to lose this for  politicians. #Uganda belongs to all of us 
#UgandaDecides
#IChoosePeaceUGpic.twitter.com/2zUZNFIVAP"
qataharraymond,Voting for Parliamentary and Presidential candidates starts in Uganda (@ Kasese Airstrip) https://www.swarmapp.com/c/jrVAOjjxt4OÂ 
kacungira,"@eisho353 Ah, I see. Fair questionhttps://twitter.com/eisho353/status/698110866621763584Â â€¦"
Jonahbyaru1,"Gained 76 new followers in the past week. Iâ€™m growing my account the right way, are you? Do it withhttp://www.crowdfireapp.com/?r=twÂ "
CynthiaNyamai,Kiggundu: Agents advised to report at 6am for dispatch of kits to polling stations from district headquarters tomorrow #UgandaDecides
kacungira,@WILLLANO Yes I'm very well thanks. Glad you are too
Jonahbyaru1,"Bulange teyina kusanyizibwawo olwemivuyo mukulonda. #Uganda
#IChoosePeaceUG
#IamUgandapic.twitter.com/xgPSej1Zft"
jkkarungi,@UgGirlMaria @kullein @nevender remember that stuff she confessed to reading? Now see...
kasujja,Now would be a good time for Canon Justice Ogoola to unleash a poem to calm people down..
SarahKagingo,President #Museveni: We are against impunity and that's how we ensured peace in Uganda #UGDebate16
MtwahaN,"THE MYSTERY OF UGANDA ELECTIONS
The Opposition failed to convey it's message to Ugandans and is reaping the... http://fb.me/3aY1WuBdxÂ "
Jonahbyaru1,Winnie Byanyima should be getting ready to replace Besigye #UGDebate16
AnishaUwase,Regional Integration is key and our manifesto is clear. #UgDebate16 #UgandaDecidespic.twitter.com/PlcpzNy7Wk
Snduhukire,@mwineedgar @samagona Tokwa kwa barabara singer was in @DailyMonitor  over the weekend
CynthiaNyamai,@KagutaMuseveni: Having to put all my university choices to the university of Dar-es-salaam where I met Julius Nyerere #UGDebate16
Jonahbyaru1,The next candidate is our very own @KagutaMuseveni of #SteadyProgress #UGDebate16
kasujja,Mbarizi called himself president ... and kept a straight ... face! Thought people were being unfair to him last time... #UGDebate16
jkkarungi,@UgGirlMaria @kullein @nevender I SEE. *side eye
AnishaUwase,@lwasabad  ka jambo.
MtwahaN,I have one shortcoming in my life: I do what pleases me. None else. It doesn't bother me whether it annoys those... http://fb.me/37Dje1p80Â 
