amenities_count,description_len,district,host_is_superhost,host_verified,id,is_new_listing,lat,lng,name,pic_count,price,property_type,review_count,review_rate_accu,review_rate_ckin,review_rate_clean,review_rate_communication,review_rate_location,review_rate_value,rules_len,total_rating
17,2440,Alamo Square,0,0,25463,0,37.77728949301072,-122.43421149153566,Modern Zen in the Lower Haight,34,120,Townhouse,344,10.0,10.0,10.0,10.0,10.0,10.0,699,5.0
21,1713,Alamo Square,0,0,808919,0,37.776998430544566,-122.43680669729936,Cozy Victorian in Alamo Square Area,16,95,Apartment,42,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0
14,3551,Alamo Square,0,0,4718531,0,37.778361560276124,-122.43123503302971,Beautiful Little Room in Victorian,45,110,House,234,10.0,10.0,10.0,10.0,10.0,10.0,46,5.0
38,3324,Alamo Square,0,0,20522264,0,37.77753306608837,-122.4344396205931,The McAllister Victorian Five,10,82,House,24,9.0,10.0,9.0,10.0,10.0,9.0,0,5.0
15,1304,Alamo Square,0,0,19995782,0,37.77483403176308,-122.43406376841237,Cozy Flat Near Alamo Square,11,175,Apartment,0,,,,,,,0,
34,2500,Alamo Square,0,0,23686996,0,37.77808168865431,-122.43707684419334,"Great View, Private Bath, Steps from Alamo Square",29,130,Condominium,1,10.0,10.0,10.0,10.0,10.0,10.0,0,
28,3039,Alamo Square,0,0,18705743,0,37.77878503345546,-122.43056851367261,"A nice cozy room near Alamo Square, with a tree",17,99,House,30,10.0,10.0,10.0,10.0,10.0,10.0,2072,5.0
15,342,Alamo Square,0,0,17776449,0,37.77844609321856,-122.43165843947222,Colorful Spacious Bedroom Suite with Home Office,9,120,Apartment,22,10.0,10.0,9.0,10.0,10.0,10.0,1243,5.0
21,836,Alamo Square,0,0,14827566,0,37.77738353273676,-122.43120059606547,Victorian Room for Simple Well-Being & Convenience,12,75,House,143,10.0,10.0,9.0,10.0,10.0,9.0,163,4.5
16,1471,Alamo Square,0,0,23546221,0,37.77878245294369,-122.43414186262622,Great 1BR Apartment in Central SF Location,4,149,Apartment,2,10.0,10.0,10.0,10.0,10.0,10.0,0,
26,1104,Alamo Square,0,0,13788749,0,37.77796187259133,-122.43185670861402,Victorian Pure & Simple Room to Relax Comfortably,11,75,House,168,10.0,10.0,9.0,10.0,10.0,9.0,227,4.5
26,2676,Alamo Square,0,0,1336998,0,37.777786804295495,-122.43775449275398,Beautiful room in San Francisco,32,90,Apartment,277,10.0,10.0,9.0,10.0,10.0,10.0,117,5.0
21,4321,Alamo Square,0,0,12212013,0,37.77617516236869,-122.43217075644642,"Perfectly Located, Updated In-Law",27,150,Apartment,108,10.0,10.0,10.0,10.0,10.0,10.0,2268,5.0
22,2166,Alamo Square,0,0,5852599,0,37.7765075743284,-122.43720428589477,Big Victorian Flat At Alamo Square,11,300,Apartment,38,10.0,10.0,9.0,10.0,10.0,9.0,196,5.0
33,2548,Alamo Square,0,0,18893442,0,37.77649414539389,-122.4303854826682,"Bright, Spacious Hayes Valley Apartment",18,500,Apartment,9,10.0,10.0,10.0,10.0,10.0,10.0,87,5.0
16,3650,Alamo Square,0,0,8172628,0,37.778559802987836,-122.43632518996009,Quiet & Cozy Victorian-Alamo Square,11,99,Apartment,20,10.0,10.0,10.0,10.0,10.0,10.0,627,5.0
20,1346,Alamo Square,0,0,10808224,0,37.777511132820024,-122.43786454168472,"Spacious, tasteful Nopa Condo",13,225,Condominium,12,10.0,10.0,10.0,10.0,10.0,10.0,51,5.0
18,228,Alamo Square,0,0,4100473,0,37.77649156234814,-122.43672251184633,Large Alamo Square One Bedroom apt,6,135,Apartment,35,10.0,10.0,9.0,10.0,10.0,9.0,0,5.0
29,2664,Alamo Square,0,0,18705200,0,37.77740134639086,-122.43144067677552,Beautiful bedroom near Alamo Square,16,125,House,31,9.0,10.0,9.0,10.0,10.0,9.0,736,4.5
28,3214,Alamo Square,0,0,18703571,0,37.77934079130317,-122.43053761908675,Sunny LARGE room in Alamo Square/Hayes Valley,14,145,House,26,10.0,10.0,10.0,10.0,10.0,9.0,986,5.0
24,2148,Alamo Square,0,0,5852066,0,37.77709666823594,-122.43762636881925,Private Room With Private Bathroom at Alamo Square,17,125,Apartment,119,10.0,10.0,9.0,10.0,10.0,9.0,196,5.0
24,491,Alamo Square,0,0,21799941,0,37.77517379854864,-122.43062276311028,"Sunny, private apartment near Hayes Valley",8,200,Apartment,4,10.0,9.0,10.0,10.0,10.0,10.0,265,5.0
7,1561,Alamo Square,0,0,4833101,0,37.77667539838574,-122.42962102514254,Nice Guest Room in Historic House,15,120,House,139,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0
20,466,Alamo Square,0,0,21634888,0,37.77675898128155,-122.43060516722713,1 BR 1BA apartment by Painted Ladies w/PARKING,13,120,Apartment,4,9.0,10.0,7.0,10.0,9.0,9.0,107,4.0
9,1326,Alamo Square,0,0,4875549,0,37.77599805660806,-122.42963486875017,Legendary Room in Great House,21,145,House,15,10.0,10.0,10.0,10.0,10.0,9.0,0,5.0
21,2300,Alamo Square,0,0,22433330,0,37.777793350267444,-122.43757929501535,Chic Alamo Square Victorian Near Painted Ladies,61,450,House,9,10.0,10.0,10.0,10.0,10.0,10.0,215,5.0
24,2522,Alamo Square,0,0,20093004,0,37.7779039069525,-122.4364324854206,Castro/Noe Valley 4 bedroom flat-- Old Listing,12,485,Apartment,22,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0
21,750,Alamo Square,0,0,9402993,0,37.778615628455185,-122.43220901574655,Alamo Square Flat,61,375,Apartment,11,10.0,10.0,10.0,10.0,10.0,10.0,120,5.0
27,1885,Alamo Square,0,0,26408,0,37.774778481770866,-122.43149873605402,Huge Central Victorian/Alamo Square,32,393,Apartment,26,9.0,8.0,8.0,9.0,9.0,9.0,77,4.5
31,2276,Alamo Square,0,0,2209751,0,37.77341636644537,-122.43566153625582,"Peaceful, clean and centrally located.",18,125,House,99,10.0,10.0,10.0,10.0,10.0,10.0,235,5.0
22,770,Alamo Square,0,0,1767569,0,37.77831882468775,-122.43078884770838,Hayes Valley Victorian Flat,10,175,Apartment,62,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0
18,108,Alamo Square,0,0,21527554,0,37.777688965916084,-122.43653964685925,Luxurious Victorian Flat On Alamo Square Park,33,375,Apartment,1,10.0,10.0,10.0,10.0,10.0,10.0,39,
6,286,Alamo Square,0,0,11842522,0,37.774176376172264,-122.4319555774802,Victorian flat with back garden,8,159,Apartment,16,10.0,10.0,10.0,10.0,10.0,10.0,214,5.0
44,248,Alamo Square,0,0,1460174,0,37.778950727391006,-122.43633794843066,"Unique, Modern Apartment with Contemporary Art",34,580,Apartment,41,10.0,10.0,10.0,10.0,10.0,10.0,938,5.0
15,2671,Alamo Square,0,0,1696666,0,37.777218963319726,-122.43655591888201,Alamo Square,97,900,House,119,9.0,10.0,9.0,10.0,10.0,9.0,1379,4.5
14,7888,Alamo Square,0,0,23598670,0,37.777357406440785,-122.42985773349727,Peaceful Purple Penthouse & SF View (West Wing),22,255,Apartment,0,,,,,,,263,
17,1195,Alamo Square,0,0,11998353,0,37.777785459024855,-122.43206841073307,Private Room on Alamo Square Park,6,100,Apartment,7,10.0,10.0,10.0,10.0,10.0,10.0,102,5.0
29,2985,Alamo Square,0,0,964952,0,37.774386621730685,-122.43754861622456,Beautiful Modern 3BR/2BA in NOPA,25,425,Apartment,60,10.0,10.0,10.0,10.0,10.0,10.0,600,5.0
15,1948,Alamo Square,0,0,9462355,0,37.776581340408285,-122.43663165041701,"Off-Site/Flat, Top Fl. Alamo Square",34,900,Apartment,5,10.0,10.0,10.0,10.0,10.0,9.0,1339,5.0
13,3402,Alamo Square,0,0,5309235,0,37.77441808800917,-122.4347857928621,Awesome room in the BEST location,15,70,Apartment,32,10.0,10.0,9.0,10.0,10.0,9.0,191,5.0
19,3265,Alamo Square,0,0,1489782,0,37.77736075710164,-122.43609999763822,"Stylish, central NOPA Flat",14,300,Apartment,42,9.0,10.0,9.0,10.0,10.0,9.0,517,4.5
23,4375,Alamo Square,0,0,1178281,0,37.77766366935077,-122.43437141298038,Elegant 2Bdrm Top Flr -Alamo Square,31,325,Condominium,56,10.0,10.0,10.0,10.0,10.0,9.0,265,5.0
11,1500,Alamo Square,0,0,8339,0,37.775248585892676,-122.43637374831292,Historic Alamo Square Victorian,22,575,House,26,10.0,10.0,10.0,10.0,10.0,10.0,307,5.0
32,1867,Alamo Square,0,0,939407,0,37.777398040120396,-122.43251887605174,"Bright, Modern Condo near Alamo Sq",27,750,Condominium,14,10.0,10.0,10.0,10.0,10.0,10.0,30,5.0
16,2235,Alamo Square,0,0,23804136,0,37.77687948475902,-122.43795777066971,Bright spacious apartment in the heart of the city,27,480,Apartment,0,,,,,,,0,
11,942,Alamo Square,0,0,845502,0,37.774441375875305,-122.43672456563826,Historic SF Victorian,18,575,House,3,9.0,8.0,10.0,9.0,10.0,9.0,121,4.5
8,1988,Alamo Square,0,0,1180103,0,37.77537202627463,-122.43139001572851,Hayes Valley Classic Victorian Flat,37,275,Apartment,7,9.0,10.0,9.0,10.0,9.0,9.0,405,4.5
17,2909,Bayview,0,0,20813007,0,37.72918552726512,-122.38425728999397,New Private Bed & Pvt Bath (w TV) close to MUNI,16,69,Townhouse,19,10.0,10.0,10.0,10.0,9.0,10.0,531,5.0
32,5107,Bayview,0,0,18587279,0,37.73566601699259,-122.38712070249915,"Cozy, private suite with separate entrance.",11,89,Apartment,76,10.0,10.0,10.0,10.0,8.0,10.0,1876,5.0
34,6468,Bayview,0,0,20388193,0,37.73559466311966,-122.39295690137556,The Castle - Serenity Room,18,74,Castle,23,10.0,10.0,9.0,9.0,9.0,9.0,331,4.5
16,1637,Bayview,0,0,22693396,0,37.731125600950044,-122.38810644618457,"New York Room at Bliss, Shared bath",8,50,House,4,10.0,10.0,10.0,10.0,9.0,9.0,170,4.5
9,388,Bayview,0,0,22338878,0,37.732949562560705,-122.39200174956677,Private studio SF oasis in sunny Bayview District.,13,125,House,3,10.0,10.0,10.0,10.0,9.0,10.0,38,5.0
33,6455,Bayview,0,0,21693492,0,37.733832599473644,-122.39375380190852,The Castle - Joe's Room,18,69,Castle,15,9.0,9.0,9.0,9.0,9.0,9.0,326,4.5
29,5067,Bayview,0,0,17478285,0,37.72720178386693,-122.37169961986625,Futon Bed for Overnight Stay in SF,33,38,House,66,10.0,10.0,10.0,10.0,9.0,10.0,797,5.0
20,2450,Bayview,0,0,21385697,0,37.734219806200755,-122.39186491010184,Private room & study with lots of space,12,59,House,14,10.0,10.0,10.0,10.0,9.0,10.0,34,5.0
27,2778,Bayview,0,0,16858141,0,37.726219776186426,-122.38930065982338,"Priv Room, TV w/ Netflix, Kitchen, Great Parking",17,75,House,63,9.0,10.0,9.0,10.0,8.0,9.0,1239,4.5
28,4958,Bayview,0,0,17576074,0,37.72859013957058,-122.37180501663764,Comfy Bedroom in San Francisco ❤️,18,70,House,30,10.0,10.0,10.0,10.0,9.0,9.0,797,5.0
25,8255,Bayview,0,0,4526608,0,37.73429683391524,-122.38795042394402,"Unique, Private Retro SF Space",38,95,Guest suite,205,10.0,10.0,9.0,10.0,8.0,9.0,1743,4.5
40,3724,Bayview,0,0,22388131,0,37.73459207276845,-122.3923813173394,Well appointed private cottage with full kitchen.,14,100,Guesthouse,13,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0
24,2418,Bayview,0,0,22422838,0,37.73845197579318,-122.39119828014452,Nice Clean Private Room in Bayview District,16,65,Townhouse,9,10.0,10.0,10.0,10.0,9.0,10.0,77,5.0
38,6814,Bayview,0,0,18999934,0,37.73446738720481,-122.39240770276831,The Castle - Malibu Room,27,75,Castle,45,10.0,10.0,10.0,9.0,9.0,9.0,97,5.0
39,2121,Bayview,0,0,2263794,0,37.73582996920132,-122.38737405738337,Happy & Sunny Bayview Living - South Bedroom ❤️,24,95,House,59,10.0,10.0,10.0,10.0,9.0,10.0,205,5.0
29,4617,Bayview,0,0,14386727,0,37.728699560573844,-122.38980662136782,"Beautiful Balcony, 2 Rooms, 3 Beds, Free Parking",19,150,House,134,10.0,10.0,9.0,10.0,9.0,9.0,1427,5.0
30,3953,Bayview,0,0,14043110,0,37.72864203906388,-122.3878621240853,"Huge Beauty, 3 Beds, Full Kitchen & Free Parking",20,140,House,127,10.0,10.0,10.0,10.0,9.0,10.0,1406,5.0
21,3875,Bayview,0,0,18548006,0,37.730886214227105,-122.3842624021729,Hey you! Bayview! Private 1 bedroom apartment.,17,125,Apartment,31,10.0,10.0,10.0,10.0,8.0,9.0,33,5.0
32,1613,Bayview,0,0,20365447,0,37.72851439252128,-122.39084665045709,"Dream Room at Bliss, Ensuite bath",9,50,House,3,10.0,10.0,10.0,10.0,9.0,9.0,166,5.0
15,1700,Bayview,0,0,22693162,0,37.73074699860408,-122.38908387338736,"San Francisco Room at Bliss, Private bath",9,48,House,4,10.0,10.0,10.0,10.0,9.0,10.0,170,5.0
31,4672,Bayview,0,0,17445405,0,37.72788935770204,-122.37042748617776,Affordable Room in San Francisco,39,70,Bungalow,72,9.0,10.0,9.0,10.0,9.0,9.0,797,4.5
37,6725,Bayview,0,0,18806185,0,37.73436079263152,-122.39439051319566,The Castle-Sequoia Room,27,79,Castle,27,10.0,10.0,10.0,10.0,9.0,10.0,338,5.0
38,2132,Bayview,0,0,17592480,0,37.735067606194136,-122.38799571695442,Happy & Sunny Bayview Living - North Bedroom ❤️,22,91,House,61,10.0,10.0,10.0,10.0,10.0,10.0,217,5.0
25,2516,Bayview,0,0,14220594,0,37.732011016183044,-122.37463069967306,Private -  - Modern flat Bay Views!,27,125,Guest suite,51,10.0,10.0,10.0,10.0,9.0,10.0,7,5.0
21,6195,Bayview,0,0,1069167,0,37.74167743289862,-122.38257816869785,"private bathroom, easy parking, real neighborhood",24,76,House,226,10.0,10.0,9.0,10.0,8.0,9.0,521,4.5
33,2484,Bayview,0,0,23209264,0,37.7317860014864,-122.38738350329128,"Relaxing and private, with views!",9,99,Guest suite,4,10.0,10.0,9.0,10.0,8.0,9.0,268,4.5
11,1156,Bayview,0,0,8635973,0,37.720740367018195,-122.3938464881734,Bedroon # 4 Shared bathroom,23,78,Dorm,183,9.0,10.0,9.0,9.0,8.0,9.0,70,4.5
33,5022,Bayview,0,0,7514742,0,37.73192031973946,-122.38821197899745,Beautiful Charming Garden Hideaway,45,120,Guest suite,167,10.0,10.0,10.0,10.0,9.0,10.0,1448,5.0
6,3030,Bayview,0,0,23733049,0,37.727895982769525,-122.38318125938761,"Beautiful & New Pvt Bed & Bath, inlaw unit with TV",13,69,Townhouse,1,10.0,10.0,10.0,10.0,10.0,10.0,649,
41,1182,Bayview,0,0,10369307,0,37.73084908482287,-122.39664546493852,"Modern style, classic SF house",16,104,House,31,10.0,10.0,9.0,10.0,9.0,9.0,166,5.0
16,2310,Bayview,0,0,5217164,0,37.72982233463887,-122.39172250720682,"Stylish, private 3 room suite",10,115,Apartment,52,10.0,10.0,10.0,10.0,7.0,9.0,634,4.5
7,141,Bayview,0,0,21300680,0,37.726024418050486,-122.38245659922173,homestyle room available near public transportatio,4,65,House,0,,,,,,,16,
36,1179,Bayview,0,0,20364980,0,37.72835271387252,-122.38483667134373,Bliss in Bayview - 4 beds/3 baths with parking,18,350,House,7,10.0,10.0,10.0,10.0,8.0,10.0,672,4.5
28,2179,Bayview,0,0,4653022,0,37.73416169457515,-122.39197947051449,Great Rm in A Happy House San Fran,32,77,House,15,10.0,10.0,10.0,10.0,8.0,10.0,674,5.0
23,556,Bayview,0,0,6872214,0,37.73159781445807,-122.37317582569253,City views masterbedroom & free parking,5,50,House,171,9.0,10.0,9.0,10.0,9.0,9.0,68,4.5
29,1617,Bayview,0,0,14647486,0,37.72877387879408,-122.38835602347298,"Priv. Bath, Gorgeous Deck, Kitchen, & Free Parking",12,195,House,4,9.0,9.0,9.0,10.0,8.0,8.0,1357,4.5
30,4677,Bayview,0,0,14422371,0,37.728280057549334,-122.38974100598901,"Gorgeous Balcony, 2 Bedrooms, 3-4 Beds, & Kitchen",25,200,House,123,9.0,10.0,9.0,10.0,9.0,9.0,1427,4.5
26,1032,Bayview,0,0,19704114,0,37.71875687234266,-122.39104286885106,Private room in the Bayview,15,74,House,26,10.0,10.0,10.0,10.0,9.0,10.0,495,5.0
17,1621,Bayview,0,0,22693303,0,37.7311320877052,-122.39078939255377,"Sunset Room at Bliss, Shared bath",9,48,House,4,10.0,10.0,10.0,10.0,9.0,10.0,0,4.5
20,1739,Bayview,0,0,2333058,0,37.73158131912087,-122.39036285951515,Private guest suite in family home!,12,99,House,137,9.0,10.0,9.0,10.0,7.0,9.0,216,4.5
12,2215,Bayview,0,0,782126,0,37.73340739867657,-122.39274461961992,Great Rm In A Happy Household S.F.,26,56,House,40,9.0,10.0,9.0,10.0,8.0,9.0,534,5.0
23,3800,Bayview,0,0,19273852,0,37.720540865816176,-122.39223503946982,Large Bedroom in 2 Bedroom Home - Red,13,55,House,12,10.0,9.0,10.0,10.0,8.0,10.0,248,4.5
12,202,Bayview,0,0,8763676,0,37.72030470863015,-122.39348474698897,BEDROOM #5,19,79,Dorm,183,9.0,9.0,9.0,9.0,8.0,9.0,0,4.5
20,1044,Bayview,0,0,11659966,0,37.72013985864934,-122.39349989136785,Bedroon #2  Shared bathroom,16,68,Dorm,108,9.0,9.0,8.0,9.0,8.0,9.0,69,4.5
40,5218,Bayview,0,0,17534666,0,37.73736719803492,-122.39234853821547,Quiet Private Room in Artsy Shared Home/Urban Farm,9,36,House,48,10.0,10.0,10.0,10.0,9.0,10.0,236,5.0
18,2336,Bayview,0,0,19050152,0,37.7350574425225,-122.38875938045913,In Law Suite at Newcomb Avenue,11,135,In-law,21,10.0,10.0,10.0,10.0,9.0,10.0,0,5.0
29,5841,Bayview,0,0,15179182,0,37.739056007150545,-122.38537233521939,"Beautiful, Eclectic, Cozy Bayview Ranch",22,250,Apartment,129,10.0,10.0,10.0,10.0,9.0,10.0,915,5.0
