Source,Search Term,Job Title,Company Name,Location,Salary,Page
Indeed,data scientist,Statistician-Data Analyst I - Govt EBT,FIS,"Saint Petersburg, FL",NA,290
Indeed,data scientist,Market Research Analyst,Auto Club of Southern California,"Costa Mesa, CA 92626",NA,290
Indeed,data scientist,Data Scientist,RJT Compuquest,"Chicago, IL",NA,290
Indeed,data scientist,Entry Level - Statistician /Data Analyst,FIS,"Atlanta, GA",NA,290
Indeed,data scientist,Junior Data Scientist,"Science System and Applications, Inc.","Hampton, VA",NA,290
Indeed,data scientist,Data Scientist - 2018 Summer Internship,Glidewell Dental,"Irvine, CA",NA,290
Indeed,data scientist,Data Scientist,Shields Health Solutions,"Quincy, MA 02169",NA,290
Indeed,data scientist,Data Scientist,Advanced Energy Industries,"Fort Collins, CO 80525",NA,290
Indeed,data scientist,Data Scientist,Cognizant,"Charlotte, NC",NA,290
Indeed,data scientist,Data Scientist,Electronic Arts,"Redwood City, CA 94065",NA,290
Indeed,data scientist,DATA SCIENTIST,"HFF, L.P.","Houston, TX",NA,290
Indeed,data scientist,Data Scientist,Freedom Financial Network,"San Mateo, CA 94402 (Beresford area)",NA,290
Indeed,data scientist,Senior Data Scientist (GC & USC only),Simple Analytics Inc.,"Chicago, IL",$55 - $60 an hour,290
Indeed,data scientist,"Intern, Data Scientist",Omnicell,"Raleigh, NC",NA,290
Indeed,data scientist,Quantitative Finance Analyst,Bank of America,"Charlotte, NC 28255 (Wilmore area)",NA,290
Indeed,data scientist,DATA SCIENTIST BL LAB,The Home Depot,"Austin, TX 78716",NA,290
Indeed,data scientist,"Data Scientist, Financial Planning & Analysis",Universal Orlando Resort,"Orlando, FL 32819 (Florida Center area)",NA,290
Indeed,data scientist,Machine Learning Scientist,Microsoft,"Redmond, WA 98052",NA,290
Indeed,data scientist,"Data Scientist, Algorithms",Wayfair,"Boston, MA 02116 (South End area)",NA,290
Indeed,data scientist,Data Scientist PhD,Wayfair,"Boston, MA 02116 (South End area)",NA,290
Indeed,data scientist,Machine Learning Engineer,RevUnit,"Bentonville, AR 72712",NA,290
Indeed,data scientist,"Intern - Energy and Environmental Analysis, Data & Markets",NY State Energy Research and Development Authority,"Albany, NY",NA,290
Indeed,data scientist,HPC Data Storage Administrator (Scientist 2/3),Los Alamos National Laboratory,"Los Alamos, NM",NA,290
Indeed,data scientist,Data Scientist Advisor – Global Trade Tools,FedEx Services,"Collierville, TN",NA,290
Indeed,data scientist,Machine Learning and DSP Algorithm Engineer,"Scientific Applications & Research Associates, Inc","Cypress, CA 90630",NA,290
Indeed,data scientist,"Computer Science, Staff_Data Analytics",Mitre Corporation,"McLean, VA",NA,290
Indeed,data scientist,Senior Quantitative Analyst,First Republic Bank,"San Francisco, CA",NA,290
Indeed,data scientist,R&D Engineer - Analytics,Picarro,"Santa Clara, CA 95054",NA,290
Indeed,data scientist,Health Data Analysis Consultant/Lead,Blue Shield of California,"San Francisco, CA 94105 (Financial District area)",NA,290
Indeed,data scientist,Research Analyst,Autodesk,"San Francisco, CA",NA,290
Indeed,data scientist,Data Research Analyst Senior,University of Kentucky,"Lexington, KY","$53,352 - $88,005 a year",290
Indeed,data scientist,"Statistician-R, SAS, SQL-Scenario Development & Enhancement-...",Citi,"Tampa, FL 33646",NA,290
Indeed,data scientist,Data Scientist I,Vanguard,"Malvern, PA 19355",NA,290
