Countries,GDP per capita,Population,Life Expectancy
Afghanistan,1925.00,32526562.00,52.72
Albania,10620.00,2896679.00,78.10
Algeria,13434.00,39666519.00,76.50
Andorra,46577.00,70473.00,84.80
Angola,7615.00,25021974.00,60.00
Antigua and Barbuda,21049.00,91818.00,76.50
Argentina,17344.00,43416755.00,76.70
Armenia,7763.00,3017712.00,74.90
Aruba,37138.00,103889.00,75.85
Australia,44056.00,23968973.00,82.30
Austria,44401.00,8544586.00,81.40
Azerbaijan,16986.00,9753968.00,73.30
Bahamas,22818.00,388019.00,73.90
Bahrain,44138.00,1377237.00,79.10
Bangladesh,3161.00,160995642.00,70.70
Barbados,12984.00,284215.00,75.80
Belarus,17415.00,9495826.00,71.30
Belgium,41240.00,11299192.00,80.50
Belize,8501.00,359287.00,71.90
Benin,1830.00,10879829.00,62.60
Bermuda,47081.00,62004.00,78.60
Bhutan,7983.00,774830.00,73.00
Bolivia,6295.00,10724705.00,73.50
Bosnia and Herzegovina,9833.00,3810416.00,79.10
Botswana,17196.00,2262485.00,60.13
Brazil,15441.00,207847528.00,74.50
Brunei,73003.00,423188.00,77.10
Bulgaria,16371.00,7149787.00,74.90
Burkina Faso,1654.00,18105570.00,61.20
Burundi,777.00,11178921.00,61.40
Cambodia,3267.00,15577899.00,69.70
Cameroon,2897.00,23344179.00,59.70
Canada,43294.00,35939927.00,81.70
Cape Verde,6514.00,520502.00,73.10
Central African Republic,599.00,4900274.00,51.04
Chad,2191.00,14037472.00,58.01
Chile,22465.00,17948141.00,79.60
China,13334.00,1376048943.00,76.50
Colombia,12761.00,48228704.00,78.20
Comoros,1472.00,788474.00,68.20
Congo Dem. Rep.,809.00,77266814.00,61.51
Congo Rep.,6220.00,4620330.00,61.50
Costa Rica,14132.00,4807850.00,80.40
Cote d'Ivoire,3491.00,22701556.00,59.71
Croatia,20260.00,4240317.00,77.80
Cuba,21291.00,11389562.00,78.30
Cyprus,29797.00,1165300.00,81.90
Czech Republic,29437.00,10543186.00,79.00
Denmark,43495.00,5669081.00,80.50
Djibouti,3139.00,887861.00,64.51
Dominica,10503.00,72680.00,73.20
