Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
1.0,Chantaje,Shakira,253019.0,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ar,0.852,0.773,0.0776,102.034,0.907,0.187,86.0,1
2.0,Vente Pa' Ca,Ricky Martin,223988.0,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,ar,0.6629999999999999,0.92,0.226,99.935,0.5329999999999999,0.0043100000000000005,77.0,1
3.0,Reggaetón Lento (Bailemos),CNCO,210943.0,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ar,0.7609999999999999,0.838,0.0502,93.974,0.71,0.4,81.0,1
4.0,Safari,J Balvin,173865.0,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,ar,0.508,0.687,0.326,180.044,0.555,0.551,94.0,1
5.0,Shaky Shaky,Daddy Yankee,153956.0,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2017-01-01,ar,0.899,0.626,0.292,88.007,0.873,0.076,92.0,1
6.0,Traicionera,Sebastian Yatra,151140.0,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-01,ar,0.7759999999999999,0.669,0.0638,91.012,0.6609999999999999,0.142,85.0,1
7.0,Cuando Se Pone a Bailar,Rombai,148369.0,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,2017-01-01,ar,0.588,0.682,0.173,205.643,0.937,0.0851,67.0,1
8.0,Otra Vez (feat. J Balvin),Zion & Lennox,143004.0,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,ar,0.8320000000000001,0.772,0.1,96.016,0.7040000000000001,0.0559,82.0,1
9.0,La Bicicleta,Carlos Vives,126389.0,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-01,ar,0.736,0.964,0.129,179.935,0.953,0.198,80.0,1
10.0,Dile Que Tu Me Quieres,Ozuna,112012.0,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,2017-01-01,ar,0.721,0.687,0.0782,175.91400000000004,0.825,0.0998,95.0,1
11.0,Andas En Mi Cabeza,Chino & Nacho,110395.0,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,2017-01-01,ar,0.68,0.954,0.119,104.029,0.521,0.0244,69.0,1
12.0,Desde Esa Noche,Thalía,104592.0,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,2017-01-01,ar,0.78,0.929,0.0532,95.012,0.8370000000000001,0.171,70.0,1
13.0,Borro Cassette,Maluma,101535.0,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,2017-01-01,ar,0.73,0.701,0.106,175.95,0.785,0.132,89.0,1
