Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
1.0,One Dance,Drake,89403.0,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,fr,0.7909999999999999,0.619,0.0532,103.98899999999999,0.371,0.00784,100.0,0
2.0,Starboy,The Weeknd,80882.0,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,fr,0.6809999999999999,0.594,0.282,186.054,0.535,0.165,93.0,0
3.0,24K Magic,Bruno Mars,80838.0,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,fr,0.818,0.8029999999999999,0.0797,106.97,0.632,0.034,92.0,0
4.0,My Way,Calvin Harris,72133.0,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,fr,0.8190000000000001,0.9129999999999999,0.0427,119.98899999999999,0.536,0.0935,88.0,0
5.0,Mauvaise graine,Nekfeu,71082.0,https://open.spotify.com/track/4kKJ5CjwCtksszPMntho4N,2017-01-01,fr,0.882,0.594,0.0709,119.979,0.319,0.429,71.0,0
6.0,Squa,Nekfeu,70542.0,https://open.spotify.com/track/11hj8c8BCRd5ND3CRhZSvt,2017-01-01,fr,0.945,0.754,0.0382,117.03399999999999,0.6970000000000001,0.41,71.0,0
7.0,Let Me Love You,DJ Snake,69647.0,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,fr,0.47600000000000003,0.718,0.0576,199.864,0.142,0.0784,82.0,0
8.0,Afro Trap Pt. 7 (La puissance),MHD,62394.0,https://open.spotify.com/track/6x8j5V85ZJHtvOSjSamcVc,2017-01-01,fr,0.971,0.7959999999999999,0.306,120.039,0.821,0.0871,69.0,0
9.0,Black Beatles,Rae Sremmurd,60080.0,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,fr,0.794,0.6459999999999999,0.0614,145.931,0.322,0.13,83.0,0
10.0,Tchoin,Kaaris,59226.0,https://open.spotify.com/track/0ban5QRXUveaKtQPGuaoQ9,2017-01-01,fr,0.787,0.826,0.248,179.97400000000002,0.813,0.626,71.0,0
11.0,Sunset Lover,Petit Biscuit,58821.0,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-01,fr,0.7829999999999999,0.467,0.0503,90.838,0.23600000000000002,0.7290000000000001,72.0,0
12.0,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,58735.0,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,fr,0.72,0.763,0.0523,101.965,0.742,0.406,85.0,0
13.0,Saturne,Nekfeu,58270.0,https://open.spotify.com/track/5t9fmZx0pcNxLykKTv6eOe,2017-01-01,fr,0.757,0.807,0.501,91.001,0.0398,0.557,71.0,0
14.0,Tchikita,Jul,56744.0,https://open.spotify.com/track/6bXd0YhKLCTvlLVc4tErH9,2017-01-01,fr,0.95,0.6659999999999999,0.0792,110.93,0.732,0.73,74.0,0
15.0,Onizuka,PNL,56545.0,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by,2017-01-01,fr,0.688,0.569,0.0375,109.041,0.359,0.392,71.0,0
16.0,Lordly (feat. Alex Aiono),Feder,55745.0,https://open.spotify.com/track/6c12fBpCtuVIq8OFxT0A3S,2017-01-01,fr,0.716,0.713,0.0365,119.988,0.415,0.078,64.0,0
17.0,Pop Corn,Boostee,54892.0,https://open.spotify.com/track/6FK7DCwcQWWWG9VAT6ZGvz,2017-01-01,fr,0.688,0.833,0.111,114.993,0.565,0.0157,51.0,0
18.0,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,54286.0,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,fr,0.6629999999999999,0.713,0.11199999999999999,101.965,0.69,0.0353,75.0,0
19.0,Human,Rag'n'Bone Man,53830.0,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-01,fr,0.602,0.7070000000000001,0.302,75.09,0.5539999999999999,0.39299999999999996,76.0,0
20.0,DKR,Booba,53653.0,https://open.spotify.com/track/1iDQ2zCOU1uYeR8QcpqUZb,2017-01-01,fr,0.674,0.8029999999999999,0.31,101.795,0.9470000000000001,0.632,76.0,0
21.0,Ride,Twenty One Pilots,53226.0,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2017-01-01,fr,0.645,0.713,0.0393,74.98899999999999,0.5660000000000001,0.00835,84.0,0
22.0,I Feel It Coming,The Weeknd,52113.0,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,fr,0.768,0.813,0.128,92.994,0.579,0.42700000000000005,93.0,0
23.0,Heathens,Twenty One Pilots,51884.0,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,fr,0.732,0.396,0.0286,90.024,0.5479999999999999,0.0841,84.0,0
24.0,Lush Life,Zara Larsson,51117.0,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,2017-01-01,fr,0.6940000000000001,0.7120000000000001,0.046,98.022,0.799,0.133,82.0,0
