类别：所有类别

月份,diet: (全球),gym: (全球),finance: (全球)
2004-01,100,31,47
2004-02,75,27,49
2004-03,69,24,48
2004-04,71,23,48
2004-05,75,22,43
2004-06,68,23,44
2004-07,63,24,46
2004-08,58,26,44
2004-09,55,25,44
2004-10,51,24,44
2004-11,51,24,42
2004-12,42,24,40
2005-01,64,32,44
2005-02,55,27,47
2005-03,57,27,44
2005-04,55,24,45
2005-05,58,25,43
2005-06,54,25,45
2005-07,53,25,44
2005-08,52,27,43
2005-09,46,27,45
2005-10,46,27,45
2005-11,44,25,43
2005-12,39,25,39
2006-01,65,34,46
2006-02,53,29,44
2006-03,52,28,48
2006-04,50,26,48
2006-05,49,26,44
2006-06,53,26,45
2006-07,50,27,44
2006-08,49,30,44
2006-09,45,31,46
2006-10,43,27,46
2006-11,43,27,46
2006-12,37,27,40
2007-01,57,35,48
2007-02,50,33,50
2007-03,51,31,49
2007-04,54,31,48
2007-05,51,32,49
2007-06,48,30,47
2007-07,49,30,48
2007-08,43,32,53
2007-09,46,32,51
2007-10,44,28,52
2007-11,40,27,51
2007-12,35,27,44
2008-01,55,35,53
2008-02,46,30,51
2008-03,45,29,54
2008-04,48,28,52
2008-05,45,27,48
2008-06,43,27,51
2008-07,45,28,52
2008-08,44,31,49
2008-09,43,33,61
2008-10,43,28,73
2008-11,40,28,59
2008-12,39,27,53
2009-01,53,36,55
2009-02,46,30,57
2009-03,49,29,59
2009-04,50,29,58
2009-05,48,28,54
2009-06,48,29,57
2009-07,47,28,56
2009-08,47,31,58
2009-09,45,31,60
2009-10,45,28,57
2009-11,42,28,52
2009-12,39,27,47
2010-01,58,35,52
2010-02,50,32,53
2010-03,51,30,54
2010-04,52,30,56
2010-05,52,28,56
2010-06,48,29,53
2010-07,50,30,52
2010-08,48,32,51
2010-09,47,32,55
2010-10,46,29,51
2010-11,44,28,51
2010-12,40,28,46
2011-01,59,39,51
2011-02,53,33,51
2011-03,54,34,51
2011-04,59,32,50
2011-05,57,31,50
2011-06,54,32,48
2011-07,53,31,47
2011-08,51,34,57
2011-09,51,35,54
2011-10,49,33,49
2011-11,49,34,46
2011-12,46,32,42
2012-01,66,43,45
2012-02,57,37,48
2012-03,56,34,48
2012-04,56,34,46
2012-05,56,35,47
2012-06,55,35,43
2012-07,56,36,44
2012-08,54,36,45
2012-09,52,39,47
2012-10,48,35,47
2012-11,45,34,42
2012-12,42,32,40
2013-01,65,43,48
2013-02,59,39,47
2013-03,59,38,46
2013-04,59,38,47
2013-05,55,37,46
2013-06,54,37,44
2013-07,54,39,46
2013-08,52,40,46
2013-09,52,40,48
2013-10,48,38,49
2013-11,46,37,45
2013-12,42,36,39
2014-01,61,47,46
2014-02,52,43,48
2014-03,54,42,47
2014-04,54,41,47
2014-05,50,39,44
2014-06,49,40,44
2014-07,49,40,45
2014-08,46,42,44
2014-09,46,42,48
2014-10,43,39,49
2014-11,43,38,43
2014-12,39,39,43
2015-01,57,49,47
2015-02,48,44,46
2015-03,50,44,45
2015-04,51,43,47
2015-05,48,42,44
2015-06,49,42,46
2015-07,47,43,47
2015-08,47,44,49
2015-09,43,45,49
2015-10,42,41,47
2015-11,39,41,43
2015-12,37,42,41
2016-01,52,51,44
2016-02,48,49,47
2016-03,49,47,43
2016-04,48,47,44
2016-05,48,47,43
2016-06,44,47,45
2016-07,44,57,41
2016-08,45,53,41
2016-09,43,51,44
2016-10,40,45,41
2016-11,38,46,44
2016-12,36,45,39
2017-01,55,58,43
2017-02,57,52,45
2017-03,51,49,45
2017-04,50,48,41
2017-05,48,49,44
2017-06,46,49,42
2017-07,50,53,43
2017-08,47,51,44
2017-09,44,51,48
2017-10,44,46,46
2017-11,43,47,47
2017-12,38,45,52
2018-01,58,58,54
2018-02,54,52,49
2018-03,54,50,49
