code_module,code_presentation,id_student,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result,assessment_type,date_submitted,sum_click
AAA,2013J,11391,M,East Anglian Region,HE Qualification,55<=,0,240,N,Pass,TMA,112.4,934
AAA,2013J,28400,F,Scotland,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,1435
AAA,2013J,31604,F,South East Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112.2,2158
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,125.6,1034
AAA,2013J,38053,M,Wales,A Level or Equivalent,35-55,0,60,N,Pass,TMA,116.2,2445
AAA,2013J,45462,M,Scotland,HE Qualification,0-35,0,60,N,Pass,TMA,114.6,1492
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,116.8,1428
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Pass,TMA,115.6,1894
AAA,2013J,53025,M,North Region,Post Graduate Qualification,55<=,0,60,N,Pass,TMA,109.6,3158
AAA,2013J,57506,M,South Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.4,1319
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,114.6,1732
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.8,1102
AAA,2013J,62155,F,North Western Region,HE Qualification,0-35,0,60,N,Pass,TMA,111.6,3388
AAA,2013J,63400,M,Scotland,Lower Than A Level,35-55,0,60,N,Pass,TMA,114.2,2737
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,109.6,1053
AAA,2013J,71361,M,Ireland,HE Qualification,35-55,0,60,N,Pass,TMA,113.8,2327
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,35-55,0,150,N,Fail,TMA,90.5,116
AAA,2013J,75091,M,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.6,2992
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,115,680
AAA,2013J,91265,M,North Western Region,HE Qualification,0-35,0,60,N,Pass,TMA,119.4,1494
AAA,2013J,98094,M,Wales,Lower Than A Level,35-55,0,60,N,Pass,TMA,106.4,2839
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,114.4,744
AAA,2013J,101781,M,South Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,112.4,4104
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,114.2,1944
AAA,2013J,102952,M,London Region,HE Qualification,0-35,0,60,N,Pass,TMA,113.8,1150
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,35-55,0,60,N,Pass,TMA,118,4777
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,115.4,733
AAA,2013J,110175,M,East Anglian Region,HE Qualification,35-55,0,60,N,Pass,TMA,113.8,998
AAA,2013J,111717,F,East Anglian Region,HE Qualification,35-55,0,60,N,Pass,TMA,114,2343
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,117.6,3553
AAA,2013J,114017,F,North Region,Post Graduate Qualification,35-55,0,60,N,Pass,TMA,113.2,757
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,35-55,0,60,N,Pass,TMA,115.6,1358
AAA,2013J,116541,M,Wales,HE Qualification,0-35,0,60,N,Pass,TMA,123.6,1886
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,109.6,1108
AAA,2013J,118983,M,East Midlands Region,HE Qualification,0-35,0,120,N,Pass,TMA,114.2,284
AAA,2013J,123044,M,South Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115.4,2041
