code_module,code_presentation,id_student,gender,region,highest_education,age_band,disability,wscore,sum_click
AAA,2013J,11391,M,East Anglian Region,HE Qualification,55<=,N,16.48,934
AAA,2013J,28400,F,Scotland,HE Qualification,35-55,N,13.08,1435
AAA,2013J,31604,F,South East Region,A Level or Equivalent,35-55,N,15.26,2158
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,0-35,N,11,1034
AAA,2013J,38053,M,Wales,A Level or Equivalent,35-55,N,13.38,2445
AAA,2013J,45462,M,Scotland,HE Qualification,0-35,N,13.56,1492
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,0-35,N,14.5,1428
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,0-35,N,14.24,1894
AAA,2013J,53025,M,North Region,Post Graduate Qualification,55<=,N,15.8,3158
AAA,2013J,57506,M,South Region,Lower Than A Level,35-55,N,14.8,1319
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,0-35,N,14.74,1732
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,35-55,N,16.16,1102
AAA,2013J,62155,F,North Western Region,HE Qualification,0-35,N,15.28,3388
AAA,2013J,63400,M,Scotland,Lower Than A Level,35-55,N,14.24,2737
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,0-35,N,10.1,171
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,35-55,N,10.7,1053
AAA,2013J,71361,M,Ireland,HE Qualification,35-55,N,15.94,2327
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,35-55,N,8.2,116
AAA,2013J,75091,M,South West Region,A Level or Equivalent,35-55,N,13.16,2992
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,0-35,N,13.9,680
AAA,2013J,91265,M,North Western Region,HE Qualification,0-35,N,13.8,1494
AAA,2013J,94961,M,South Region,Lower Than A Level,35-55,N,7.4,339
AAA,2013J,98094,M,Wales,Lower Than A Level,35-55,N,12.12,2839
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,0-35,N,13.74,744
AAA,2013J,101781,M,South Region,Lower Than A Level,35-55,N,14.32,4104
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,0-35,N,15.2,1944
AAA,2013J,102952,M,London Region,HE Qualification,0-35,N,15.42,1150
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,35-55,N,15.78,4777
AAA,2013J,106247,M,South Region,HE Qualification,35-55,N,9.766666667,465
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,0-35,N,10.84,733
AAA,2013J,110175,M,East Anglian Region,HE Qualification,35-55,N,12.74,998
AAA,2013J,111717,F,East Anglian Region,HE Qualification,35-55,N,16.3,2343
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,35-55,N,15.46,3553
AAA,2013J,114017,F,North Region,Post Graduate Qualification,35-55,N,14.46,757
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,35-55,N,14.16,1358
AAA,2013J,116541,M,Wales,HE Qualification,0-35,N,11.96,1886
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,35-55,N,14.84,1108
AAA,2013J,118983,M,East Midlands Region,HE Qualification,0-35,N,11.8,284
AAA,2013J,123044,M,South Region,A Level or Equivalent,35-55,N,14.14,2041
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,0-35,N,13.88,1321
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,0-35,N,13.36666667,1011
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,35-55,N,13.46,520
AAA,2013J,134143,F,South East Region,A Level or Equivalent,35-55,N,16.76,2732
AAA,2013J,135400,F,South East Region,Lower Than A Level,35-55,Y,8.7,287
AAA,2013J,137873,M,South West Region,A Level or Equivalent,35-55,N,16.34,5528
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,0-35,N,14.4,1823
AAA,2013J,141377,M,South West Region,A Level or Equivalent,0-35,N,4.5,143
AAA,2013J,142326,F,North Region,A Level or Equivalent,35-55,N,15.06,2121
AAA,2013J,144801,F,South Region,HE Qualification,35-55,N,14.12,5645
AAA,2013J,145130,M,South West Region,HE Qualification,0-35,N,10.64,452
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,0-35,Y,9.76,597
AAA,2013J,147756,M,North Region,Lower Than A Level,0-35,N,12.825,611
AAA,2013J,147793,F,North Region,Lower Than A Level,0-35,N,5.2,155
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,35-55,Y,12.13333333,1864
AAA,2013J,151358,F,London Region,A Level or Equivalent,0-35,N,9.92,270
AAA,2013J,155550,M,London Region,A Level or Equivalent,35-55,N,13.2,1529
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,35-55,N,15.88,4003
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,0-35,N,11.75,908
AAA,2013J,157568,F,South West Region,A Level or Equivalent,0-35,N,13.72,1405
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,35-55,N,10.05,1185
AAA,2013J,164259,M,Scotland,A Level or Equivalent,0-35,N,14.08,466
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,35-55,N,14.18,1510
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,35-55,N,12.98,745
AAA,2013J,172112,M,Ireland,HE Qualification,35-55,N,14.22,1939
AAA,2013J,172797,F,Ireland,A Level or Equivalent,35-55,N,12.28,1782
AAA,2013J,174782,M,East Anglian Region,HE Qualification,55<=,N,16.02,6318
AAA,2013J,175392,M,North Region,HE Qualification,35-55,N,16.34,4447
AAA,2013J,175932,M,North Western Region,HE Qualification,35-55,N,15.76,2016
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,0-35,N,7.2,138
AAA,2013J,180753,M,South West Region,A Level or Equivalent,0-35,N,10.34,2012
AAA,2013J,181316,F,South West Region,A Level or Equivalent,35-55,N,7.6,487
AAA,2013J,183096,F,South West Region,A Level or Equivalent,0-35,N,10.8,1975
AAA,2013J,183947,M,London Region,A Level or Equivalent,0-35,N,9.32,964
AAA,2013J,184271,M,South West Region,HE Qualification,35-55,N,11.74,1312
