,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Houston Rockets*,29.8,61,14,58,17,9.41,-0.23,9.19,115.7,106.1,97.8,.300,.502,.593,.554,12.6,21.6,.235,.522,13.4,79.9,.171,Toyota Center,660502,17851
2,Toronto Raptors*,25.9,55,20,55,20,8.05,-0.60,7.45,114.4,106.2,97.6,.256,.375,.578,.541,12.0,23.3,.204,.504,13.3,77.2,.212,Air Canada Centre,753596,19831
3,Golden State Warriors*,28.9,54,20,52,22,7.00,-0.04,6.96,114.1,107.1,99.6,.242,.342,.605,.571,14.1,21.5,.197,.500,12.5,76.4,.188,Oracle Arena,744648,19596
4,Boston Celtics*,24.7,51,23,47,27,4.05,-0.45,3.60,107.8,103.6,96.0,.241,.364,.554,.519,12.9,21.2,.186,.491,12.9,78.5,.195,TD Garden,689088,18624
5,Utah Jazz,26.8,42,32,45,29,3.34,0.14,3.47,107.8,104.3,95.6,.258,.355,.561,.523,13.7,21.1,.203,.509,14.0,79.8,.190,Vivint Smart Home Arena,643276,17869
6,Philadelphia 76ers*,25.7,43,30,44,29,3.22,0.10,3.32,108.9,105.7,99.3,.272,.345,.567,.532,15.0,25.6,.206,.493,12.5,78.1,.223,Wells Fargo Center,729864,20308
7,Oklahoma City Thunder,27.3,44,31,45,30,3.23,-0.18,3.05,110.4,107.1,96.5,.270,.340,.546,.515,12.5,27.7,.192,.524,14.7,77.2,.192,Chesapeake Energy Arena,691713,18203
8,San Antonio Spurs,29.3,43,32,45,30,3.05,-0.12,2.94,107.7,104.5,95.0,.241,.283,.544,.508,12.3,23.8,.186,.506,13.2,78.8,.167,AT&T Center,680698,18397
9,Portland Trail Blazers,25.7,46,28,44,30,2.84,-0.08,2.75,109.5,106.6,96.4,.243,.321,.551,.513,12.3,23.3,.194,.503,11.7,79.1,.194,Moda Center,736006,19369
10,Minnesota Timberwolves,27.1,42,33,42,33,2.08,0.24,2.32,113.7,111.5,96.0,.285,.260,.568,.525,11.5,24.5,.229,.541,13.8,76.2,.188,Target Center,627528,16960
11,Indiana Pacers*,26.2,44,31,42,33,1.67,-0.37,1.30,109.5,107.8,96.0,.225,.283,.558,.525,12.4,22.5,.176,.526,14.2,76.3,.175,Bankers Life Fieldhouse,622865,15971
12,Denver Nuggets,25.0,40,35,40,35,1.21,-0.04,1.18,112.3,111.1,97.1,.256,.357,.571,.537,13.6,25.5,.196,.544,12.9,77.7,.173,Pepsi Center,634651,17153
13,Washington Wizards,26.9,41,33,40,34,1.18,-0.05,1.13,109.9,108.7,96.6,.259,.306,.562,.526,13.2,23.6,.200,.519,13.4,76.8,.212,Capital One Arena,681787,17942
14,Los Angeles Clippers,27.1,40,34,39,35,0.99,0.07,1.06,110.6,109.6,98.9,.296,.325,.567,.529,13.2,23.1,.223,.517,12.8,76.1,.204,STAPLES Center,613521,17042
15,New Orleans Pelicans,27.7,43,32,38,37,0.36,0.28,0.64,109.2,108.9,100.4,.240,.318,.571,.539,13.3,19.9,.185,.515,12.4,76.8,.178,Smoothie King Center,620326,16324
16,Miami Heat,26.4,40,35,39,36,0.48,-0.19,0.29,107.2,106.7,95.3,.231,.364,.553,.523,13.4,21.5,.174,.508,13.1,79.0,.216,AmericanAirlines Arena,706704,19631
17,Cleveland Cavaliers*,30.7,44,30,38,36,0.51,-0.43,0.08,112.6,112.0,98.0,.273,.383,.584,.547,12.8,20.0,.213,.539,12.2,76.9,.169,Quicken Loans Arena,740232,20562
