Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,74,241.0,37.4,82.9,.451,9.6,26.4,.366,27.7,56.5,.491,15.8,20.4,.772,8.6,33.2,41.9,20.0,8.3,4.7,14.9,20.5,100.2
2,Boston Celtics*,74,241.7,37.2,85.1,.437,9.2,27.2,.339,28.0,57.8,.483,16.6,21.7,.764,9.7,34.1,43.8,20.8,7.2,4.4,14.0,18.9,100.2
3,San Antonio Spurs,75,240.3,38.1,84.3,.452,9.2,26.5,.347,28.9,57.8,.500,14.1,18.5,.758,9.2,33.2,42.3,21.8,7.7,3.9,14.1,19.6,99.4
4,Portland Trail Blazers,74,241.0,38.4,85.9,.447,9.7,26.6,.364,28.7,59.3,.484,16.7,21.9,.764,9.3,33.4,42.7,20.2,7.3,5.1,12.6,19.2,103.2
5,Detroit Pistons,74,241.4,38.9,84.9,.458,11.0,30.4,.361,27.9,54.5,.512,15.0,19.2,.778,9.2,34.6,43.9,24.9,7.3,5.0,14.9,18.4,103.8
6,Philadelphia 76ers*,73,241.4,38.1,87.3,.436,9.9,28.9,.342,28.2,58.3,.483,19.5,25.9,.752,10.1,32.0,42.1,21.6,8.8,5.1,14.1,20.8,105.5
7,Miami Heat,75,242.7,37.7,83.4,.452,9.4,26.1,.361,28.3,57.3,.493,18.0,22.9,.786,9.0,33.7,42.7,20.7,7.5,4.6,14.1,19.3,102.8
8,Memphis Grizzlies,74,240.3,36.7,79.9,.459,10.4,28.4,.366,26.3,51.5,.511,20.9,27.1,.770,9.4,33.0,42.4,21.7,8.0,5.2,14.7,20.6,104.7
9,Dallas Mavericks,74,241.4,39.1,83.7,.467,10.7,29.4,.366,28.4,54.3,.522,16.2,21.4,.759,9.0,36.5,45.5,23.3,7.3,4.5,13.9,19.9,105.2
10,Indiana Pacers*,75,241.0,39.3,84.8,.463,10.5,30.4,.347,28.7,54.4,.528,14.8,19.7,.752,10.2,32.8,43.0,22.8,7.1,5.2,15.4,18.6,103.9
11,Oklahoma City Thunder,75,241.7,38.3,83.9,.457,11.3,30.6,.369,27.0,53.3,.508,16.1,21.0,.767,9.6,32.3,41.9,23.2,7.6,4.6,16.0,21.2,104.0
12,Houston Rockets*,75,241.0,39.7,85.8,.462,10.2,29.0,.352,29.5,56.8,.519,14.7,19.6,.749,8.7,33.1,41.8,22.5,7.3,4.5,14.6,20.5,104.2
13,Toronto Raptors*,75,241.7,38.6,85.6,.451,9.0,25.0,.359,29.6,60.5,.490,18.2,23.7,.766,10.0,32.4,42.4,22.0,7.1,4.9,14.7,20.1,104.4
14,Washington Wizards,74,242.4,39.0,84.7,.460,10.0,29.0,.345,29.0,55.8,.520,17.9,23.5,.764,10.0,32.4,42.4,22.1,7.7,4.8,14.8,20.3,106.0
15,Milwaukee Bucks,74,241.4,38.8,83.3,.466,10.1,27.0,.373,28.8,56.3,.511,18.5,23.6,.781,9.9,32.5,42.4,23.2,7.1,4.2,15.5,20.0,106.2
16,Golden State Warriors*,74,240.7,39.9,90.0,.443,10.3,29.0,.356,29.5,61.0,.484,16.9,22.4,.755,10.9,31.3,42.2,23.2,8.6,3.6,14.3,18.5,107.0
17,Orlando Magic,73,240.7,41.3,87.6,.472,9.8,26.9,.364,31.5,60.7,.519,16.7,21.5,.774,10.7,34.8,45.5,24.3,8.0,5.0,14.3,19.0,109.1
18,Sacramento Kings,75,241.0,39.1,82.6,.473,12.3,31.8,.386,26.8,50.8,.527,16.3,21.3,.768,9.1,34.7,43.9,24.0,7.9,4.7,14.5,17.3,106.7
19,Los Angeles Lakers,73,242.4,41.2,89.9,.458,10.4,30.0,.346,30.8,59.9,.514,17.3,22.4,.771,10.2,34.7,44.8,23.5,8.1,5.6,14.4,20.4,110.0
20,Los Angeles Clippers,74,240.3,39.9,87.6,.456,10.7,30.2,.355,29.2,57.4,.508,17.9,22.9,.783,10.6,33.1,43.8,24.3,8.4,5.5,14.4,22.0,108.5
21,Atlanta Hawks,74,240.3,40.7,86.3,.471,11.6,30.5,.380,29.1,55.8,.521,16.1,20.8,.774,10.3,33.7,44.0,26.0,8.6,5.5,15.4,20.6,109.0
22,Charlotte Hornets,75,241.3,40.8,87.2,.468,11.2,30.1,.373,29.6,57.1,.517,14.8,18.6,.798,8.3,35.5,43.8,24.5,6.4,5.1,13.9,22.6,107.6
23,Minnesota Timberwolves,75,241.3,40.4,84.8,.477,10.9,29.8,.366,29.5,54.9,.537,15.9,20.5,.778,9.9,31.7,41.6,24.1,6.5,4.7,15.0,21.0,107.7
24,New York Knicks,75,242.0,39.3,85.9,.458,11.3,30.4,.370,28.1,55.5,.505,18.0,23.3,.774,10.1,32.6,42.7,23.8,8.2,4.7,13.5,18.7,107.9
25,Denver Nuggets,75,241.7,41.3,86.1,.480,11.0,28.9,.380,30.3,57.2,.531,14.9,20.1,.740,9.5,31.9,41.4,25.0,7.9,5.0,14.1,20.4,108.5
26,Cleveland Cavaliers*,74,240.7,41.7,88.3,.473,11.8,31.9,.368,30.0,56.4,.531,14.9,19.9,.749,10.1,33.9,43.9,25.8,7.6,4.2,13.5,20.7,110.1
27,Chicago Bulls,74,242.4,41.0,86.9,.472,11.9,32.2,.371,29.1,54.7,.531,16.2,20.7,.785,8.5,37.2,45.7,25.8,7.1,5.0,13.3,17.4,110.2
28,Brooklyn Nets,74,242.0,41.6,89.2,.467,9.2,24.6,.372,32.5,64.6,.503,18.2,23.7,.765,10.4,36.2,46.6,21.7,7.7,5.6,12.3,19.9,110.6
29,New Orleans Pelicans,75,243.7,41.8,91.8,.455,11.0,30.9,.358,30.7,61.0,.504,16.3,20.7,.791,10.7,34.7,45.5,23.7,8.2,4.3,14.3,20.5,111.0
30,Phoenix Suns,75,240.3,41.8,88.7,.472,10.8,29.1,.372,31.0,59.5,.521,19.2,24.9,.770,10.4,35.6,46.0,23.1,8.7,6.0,13.5,21.2,113.7
,League Average,74,241.4,39.6,85.9,.460,10.5,28.9,.363,29.1,57.0,.510,16.7,21.8,.769,9.7,33.7,43.4,23.1,7.7,4.8,14.3,19.9,106.4
