Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets*,75,241.0,39.1,84.6,.462,15.5,42.5,.365,23.6,42.1,.560,19.9,25.3,.785,9.1,34.5,43.6,21.8,8.6,4.8,13.8,19.6,113.6
2,Golden State Warriors*,74,240.7,42.9,85.1,.504,11.4,29.1,.392,31.5,56.1,.562,16.8,20.6,.813,8.6,35.3,43.9,29.6,8.0,7.7,15.5,19.8,114.0
3,Toronto Raptors*,75,241.7,41.3,87.5,.473,11.9,32.8,.362,29.5,54.7,.539,17.9,22.4,.797,9.8,33.8,43.6,24.2,7.8,6.1,13.3,21.7,112.5
4,New Orleans Pelicans,75,243.7,42.5,88.2,.481,10.1,28.1,.359,32.4,60.1,.538,16.3,21.2,.772,8.7,35.5,44.2,26.4,7.7,5.9,14.9,19.1,111.3
5,Denver Nuggets,75,241.7,40.6,86.4,.470,11.6,30.9,.375,29.1,55.6,.523,16.9,22.1,.765,10.9,33.2,44.1,25.0,7.9,4.8,15.1,18.5,109.7
6,Minnesota Timberwolves,75,241.3,41.0,85.8,.478,8.0,22.3,.358,33.1,63.5,.521,19.7,24.5,.804,10.3,31.6,41.9,22.6,8.3,4.2,12.6,18.2,109.7
7,Cleveland Cavaliers*,74,240.7,40.4,84.6,.477,11.9,32.4,.368,28.4,52.2,.545,18.0,23.1,.780,8.4,33.6,42.1,23.5,7.0,3.9,13.9,18.9,110.6
8,Los Angeles Clippers,74,240.3,40.3,85.5,.471,9.9,27.8,.357,30.4,57.7,.526,19.0,25.3,.754,9.9,33.8,43.8,22.3,7.8,4.7,14.7,20.1,109.5
9,Charlotte Hornets,75,241.3,38.9,87.0,.447,9.9,27.0,.368,28.9,60.0,.482,20.1,27.1,.742,10.2,35.3,45.5,21.3,7.0,4.6,12.5,17.5,107.8
10,Oklahoma City Thunder,75,241.7,39.9,87.8,.455,10.5,29.8,.352,29.4,57.9,.508,16.9,23.7,.714,12.4,32.4,44.8,21.3,8.9,5.2,14.1,20.1,107.3
11,Philadelphia 76ers*,73,241.4,40.1,85.6,.469,10.9,29.5,.369,29.2,56.1,.522,17.6,23.3,.756,11.0,36.0,47.0,26.4,8.0,5.0,16.9,22.4,108.7
12,Washington Wizards,74,242.4,40.1,85.5,.469,9.8,26.2,.375,30.3,59.4,.510,17.1,22.1,.773,10.0,33.1,43.1,25.1,7.9,4.4,14.5,21.4,107.1
13,Indiana Pacers*,75,241.0,40.7,86.1,.473,9.0,24.4,.368,31.8,61.7,.514,15.1,19.4,.779,9.5,32.9,42.4,22.0,8.8,4.2,13.4,18.8,105.6
14,Los Angeles Lakers,73,242.4,41.0,88.9,.461,10.0,29.0,.345,31.0,59.9,.517,16.4,23.1,.709,10.8,35.4,46.2,23.8,7.8,4.8,15.7,21.3,108.4
15,Brooklyn Nets,74,242.0,38.1,86.9,.439,12.4,35.0,.354,25.7,51.8,.496,17.8,23.0,.774,10.0,34.6,44.6,23.2,6.1,4.5,15.1,20.9,106.4
16,Portland Trail Blazers,74,241.0,39.4,86.9,.453,10.4,27.9,.375,28.9,59.0,.490,16.9,21.1,.801,10.2,35.2,45.4,19.4,6.9,5.2,13.5,19.4,106.1
17,New York Knicks,75,242.0,40.7,87.6,.464,8.0,22.8,.349,32.7,64.7,.505,15.2,19.3,.788,10.6,33.6,44.2,23.0,6.9,5.1,14.8,20.6,104.5
18,Milwaukee Bucks,74,241.4,39.4,82.2,.479,8.8,24.7,.355,30.6,57.5,.533,18.4,23.6,.778,8.2,31.2,39.4,22.9,8.6,5.5,13.9,21.4,105.9
19,Phoenix Suns,75,240.3,38.3,87.2,.439,9.2,27.7,.333,29.1,59.5,.489,18.0,24.3,.741,10.5,33.5,44.0,21.1,6.9,4.6,15.8,22.4,103.9
