id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
0,The Java Language Specification (The Java Series),"James Gosling,Bill Joy,Guy L. Steele Jr.,Gilad Bracha",9780321246783,651,Addison-Wesley Professional,2005,6,1
1,Java Performance Tuning,Jack Shirazi,9780596003777,600,O'Reilly Media,2003,1,28
2,Java Software Solutions (Java 5.0 version): Foundations of Program Design,"John   Lewis,William Loftus",9780321322036,944,Addison Wesley Publishing Company,2005,7,29
3,Data Structures and Abstractions with Java,"Frank M. Carrano,Walter J. Savitch",9780132370455,998,Prentice Hall,2006,8,4
4,Java and XSLT,Eric M. Burke,9780596001438,528,O'Reilly Media,2001,9,11
5,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,9780131492028,1060,Prentice Hall,2004,12,1
6,"Core Java 2, Volume I--Fundamentals (Core Series)","Cay S. Horstmann,Gary Cornell",9780131482029,784,Prentice Hall,2004,8,27
7,Big Java: Late Objects,Cay S. Horstmann,9781118087886,1056,Wiley,2012,2,1
8,Just Java 2 [With CDROM],Peter van der Linden,9780130320728,1098,Prentice Hall PTR,2001,12,21
9,Enterprise JavaBeans (Java Series (O'Reilly & Associates).),Richard Monson-Haefel,9781565928695,489,O'Reilly,2001,9,8
10,Learn Objective-C for Java Developers,James Bucanek,9781430223696,520,Apress,2009,9,1
11,"Java Server Programming For Professionals, 2nd Edition   Covers Java Ee 5 (Book/Cd Rom)","Ivan Bayross,Sharanam Shah,Cynthia Bayross,Vaishali Shah",9788184045598,,,,,
12,Programming in Java,"Sachin Malhotra,Saurabh Choudhary",9780198063582,656,"Oxford University Press, USA",2011,2,1
13,Java Testing with Spock,Konstantinos Kapelonis,9781617292538,275,Manning Publications,2015,,
14,Sun Performance and Tuning: Java and the Internet,"Adrian Cockcroft,Sun Microsystems Press",9780130952493,624,Prentice Hall,1998,4,17
15,Core Java for the Impatient,Cay S. Horstmann,9780321996329,512,Addison-Wesley Professional,2015,2,16
16,Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,9780672330766,432,Sams,2009,11,4
17,Wireless Java: Developing with J2ME,"Jonathan Knudsen,John Zukowski",9781590590775,384,Apress,2003,3,4
18,Učebnice jazyka JAVA,Pavel Herout,,349,Kopp,2001,,
19,"Rising Sun, Falling Skies: The Disastrous Java Sea Campaign of World War II (General Military)",Jeffrey Cox,,493,Osprey Publishing,2014,3,25
20,Programming and Problem Solving with Java,"Nell B. Dale,Chip Weems",9780763734022,838,Jones & Bartlett Publishers,2007,4,1
