admire admired
afford afforded
agree agreed
alert alerted
allow allowed
amuse amused
analyse analysed
announce announced
annoy annoyed
answer answered
apologise apologised
appear appeared
applaud applauded
appreciate appreciated
approach approached
approve approved
argue argued
arrange arranged
arrest arrested
arrive arrived
attach attached
attack attacked
attempt attempted
attend attended
attract attracted
avoid avoided
bake baked
balance balanced
ban banned
bang banged
bare bared
bat batted
bathe bathed
battle battled
beam beamed
beg begged
behave behaved
belong belonged
bleach bleached
bless blessed
blind blinded
blink blinked
blot blotted
blush blushed
boast boasted
boil boiled
bolt bolted
bomb bombed
bore bored
borrow borrowed
bounce bounced
bow bowed
brake brakes
branch branched
breathe breathed
bruise bruised
brush brushed
bubble bubbled
bump bumped
burn burned
bury buried
buzz buzzed
calculate calculated
camp camped
carry carried
carve carved
challenge challenged
charge charged
chase chased
cheat cheated
cheer cheered
chew chewed
choke choked
chop chopped
claim claimed
clap clapped
clean cleaned
clear cleared
clip clipped
close closed
coach coached
coil coiled
comb combed
command commanded
communicate communicated
complain complained
concentrate concentrated
confess confessed
confuse confused
contain contained
cough coughed
crack cracked
crash crashed
crawl crawled
crush crushed
cry cried
cure cured
curl curled
curve curved
cycle cycled
damage damaged
dance danced
dare dared
decay decayed
deceive deceived
decorate decorated
delight delighted
deliver delivered
desert deserted
deserve deserved
destroy destroyed
develop developed
disappear disappeared
disapprove disapproved
disarm disarmed
discover discovered
drag dragged
drain drained
dream dreamed
drip dripped
drop dropped
drown drowned
dry dried
dust dusted
earn earned
embarrass embarrassed
employ employed
encourage encouraged
enter entered
entertain entertained
escape escaped
examine examined
excite excited
exercise exercised
explode exploded
extend extended
fade faded
fail failed
fancy fancied
fasten fastened
fear feared
fetch fetched
fill filled
fix fixed
flap flaps
flash flashed
float floated
flood flooded
flow flowed
fold folded
follow followed
fool fooled
force forced
frighten frightened
fry fried
gather gathered
gaze gazed
glow glowed
glue glued
grab grabbed
grate grated
grease greased
greet greeted
grin grinned
grip gripped
groan groaned
guard guarded
hang hanged
harass harassed
harm harmed
hate hated
haunt haunted
heal healed
heat heated
hook hooked
hop hopped
hover hovered
hug hugged
hum
hunt hunted
inject injected
injure injured
invent invented
invite invited
irritate irritated
itch
jog
joke joked
judge judged
juggle
jump jumped
kick kicked
kill killed
kiss kissed
kneel kneels
knit knitted
knock knocked
knot knotted
laugh laughed
launch launched
learn learned
lick licked
lie lied
lift lifted
lighten lightened
listen listened
live lived
load loaded
lock locked
look looked
love loved
manage managed
manipulate manipulates
marry married
mate mated
melt melted
memorize memorized
mend mended
milk milked
mix mixed
moan moaned
moor moored
mourn mourned
move moved
muddle muddled
mug mugged
multiply multiplied
murder murdered
nail nailed
nears neared
nest nested
nod nodded
obey obeyed
observe observed
open opened
order ordered
overflow overflowed
owe owed
pack packed
paddle paddled
paste pasted
peck
pedal pedals
peel peeled
peep peeps
perform performed
permit permitted
phone phoned
pick picked
pinch pinched
pin pinned
plan planned
plant planted
play played
plug plugged
poke poked
polish polished
pop popped
possess possessed
pour poured
practise practised
pray prayed
preach preached
