NAME,2017 _OG,2016_OG,2017_GR,CGR,Enrollment,Superintendent,Schools 2016-17 Graduation Rate,,,,,,,Enrollment=2016-17
Aberdeen School District,C,C,82,13.3,"1,298",Jeff Clay,Aberdeen High School: 82%,,,,,,,CGR=Change in Graduation rate last 3 years
Alcorn School District,B,B,90.8,7.7,"3,262",Larry Mitchell,Alcorn Central High School: 91.3%,Kossuth High School: 92.7%,Biggersville 83.5%,,,,,
Amite County School District,D,F,80,0.5,"1,053",Scotty Whittington,Amite County High School: 80%,,,,,,,
Amory School District,B,C,84.1,-2.5,"1,778",Kenneth Byars,Amory High School: 84.1%,,,,,,,
Attala County School District,C,C,72.9,1.8,"1,078",Bryan Weaver,Ethel Attendance Center: 64.8%,Mcadams Attendance Center: 82.3%,,,,,,
Baldwyn School District,B,B,90.2,7,782,Jason Mckay,Baldwyn High School: 90.2%,,,,,,,
Bay St Louis Waveland School District,B,B,82.8,-6.6,"1,865",Rebecca Ladner,Bay High School: 83.1%,,,,,,,
Benton County School District,B,C,85.8,-8.3,"1,165",Fredrick Bostick,Ashland High School: 88.6%,Hickory Flat Attendance Center: 83.2%,,,,,,
Biloxi Public School District,A,B,82.3,-1.3,"6,184",Arthur Mcmillan,Biloxi High School: 82.6%,,,,,,,
Booneville School District,A,A,89.1,-1.4,"1,304",Todd English,Booneville High School: 89.3%,,,,,,,
Brookhaven School District,C,C,71.3,2,"2,966",Murray Carlock,Brookhaven High School: 71.6%,,,,,,,
Calhoun County School District,C,C,88.1,14.6,"2,533",Michael Moore,Vardaman High School: 89.4%,Calhoun City High School: 83.8%,Bruce High School: 91%,,,,,
Canton Public School District,D,F,74.1,21.7,"3,583",Cassandra Williams,Canton Public High School: 74.3%,,,,,,,
Carroll County School District,C,D,76.4,4.5,"1,032",Billy Ferguson,J Z George High School: 76.7%,,,,,,,
Chickasaw County School District,D,D,72.9,8.8,507,Betsy Collums,Houlka Attendance Center: 72.9%,,,,,,,
Choctaw County School District,C,C,82.2,3.7,"1,370",Stewart Beard,Choctaw County High School: 81.4%,,,,,,,
Claiborne County School District,D,F,81.1,11.8,"1,487",Cardell Williams,Port Gibson High School: 81.3%,,,,,,,
Clarksdale Municipal School District,D,F,82.7,9.3,"2,675",Dennis Dupree,Clarksdale High School: 85.1%,Jerome W. Stampley 9Th Grade Academy: 85.1%,,,,,,
Cleveland School District,D,C,79.8,8.6,"3,565",Jacquelyn Thigpen,East Side High School: 81.9%,Cleveland High School: 80.6%,,,,,,
Clinton Public School District,A,A,85.7,-0.7,"3,262",Phillip Burchfield,Clinton High School: 90%,Sumner Hill Jr Hi School: 90%,,,,,,
Coahoma County Ahs,B,C,79.1,1.1,302,Valmadge T. Towner,Coahoma County AHS: 79.1%,,,,,,,
Coahoma County School District,D,F,75.1,7.9,"1,495",Xandra Brooks-Keys,Coahoma County Jr/Sr High School: 75.1%,,,,,,,
Coffeeville School District,C,D,86.2,15.5,510,Vivian Mclean,Coffeeville High School: 86.6%,,,,,,,
Columbia School District,C,B,86.1,-4,"1,701",Marietta James,Columbia High School: 86.1%,,,,,,,
Columbus Municipal School District,D,D,80.8,10.5,"4,001",Philip Hickman,Columbus High School: 80.9%,,,,,,,
Copiah County School District,C,C,87.7,7.4,"2,752",Rickey Clopton,Crystal Springs High School: 84.4%,Wesson Attendance Center: 92.2%,,,,,,
Covington County Schools,D,C,77.2,11.7,"2,905",Arnetta Crosby,Collins High School: 69.7%,Seminary High School: 78.2%,Mount Olive Attendance Center: 93.2%,,,,,
DeSoto County School District,A,A,89.1,0.3,"33,537",Cory Uselton,Southaven High School: 84.5%,Lake Cormorant High: 83.9%,Hernando High School: 91%,Olive Branch High School: 92.3%,Lewisburg High School: 93.9%,Desoto Central High School: 94.7%,Center Hill High School: 90.8%,Horn Lake High 86.8%
Durant Public School District,D,D,65.1,12.4,526,Glennie Carlisle,Durant Public School: 65.1%,,,,,,,
East Jasper Consolidated School District,C,D,80,10.4,915,Nadene Arrington,Heidelberg High School: 80%,,,,,,,
East Tallahatchie Consolidated School District,D,D,88.2,8.9,"1,216",Benjamin Kennedy,Charleston High School: 88.2%,,,,,,,
Enterprise School District,A,A,97.5,5.5,995,Rita Windham,Enterprise High School: 97.5%,,,,,,,
Forest Municipal School District,D,C,72.9,-7.5,"1,688",Joseph White,Forest High School: 72.9%,,,,,,,
Forrest County Ag High School,B,A,78.2,-3.9,588,Billy Ellzey,Forrest County AHS: 78.2%,,,,,,,
Forrest County School District,B,B,84.2,1.9,"2,289",Mitchell Freeman,North Forrest High School: 84.2%,,,,,,,
Franklin County School District,C,B,87.7,-0.7,"1,333",Christoph Kent,Franklin High School: 87.9%,,,,,,,
George County School District,B,B,82.6,0.3,"4,082",Pam Touchard,George County High School: 82.9%,,,,,,,
Greene County School District,B,B,87.1,-1.1,"2,010",Charles Breland,Greene County High School: 87.2%,,,,,,,
