Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,75.957443,77.021278,75.587418,76.928772,61.195473,1131400
2010-01-05,76.688255,76.928772,75.763184,76.290474,60.687706,790100
2010-01-06,75.855690,76.484734,75.393158,75.661423,60.187321,1248600
2010-01-07,75.679924,75.920441,74.810364,75.226639,59.841469,1514400
2010-01-08,75.060127,76.059204,74.884369,75.707680,60.224121,1244800
2010-01-11,76.484734,77.289543,76.105461,77.095284,61.327930,1197600
2010-01-12,76.244217,76.956520,75.633675,76.114708,60.547909,949100
2010-01-13,76.207214,76.882515,75.633675,76.873268,61.151333,874600
2010-01-14,76.743759,77.520813,75.679924,75.920441,60.393372,663400
2010-01-15,76.068459,76.743759,75.809433,76.567993,60.908485,1542200
2010-01-19,76.734505,76.817764,75.846436,76.392227,60.768642,1415100
2010-01-20,75.855690,75.855690,75.041626,75.374657,59.959206,1315100
2010-01-21,75.245140,76.142464,73.829788,73.876038,58.767078,1546800
2010-01-22,73.876038,74.819611,72.127663,72.220169,57.449863,1953400
2010-01-25,73.163734,74.875114,73.163734,74.246071,59.061443,1942000
2010-01-26,73.515266,75.004623,73.080482,73.617020,58.561035,1482200
2010-01-27,73.617020,74.236816,71.905640,72.950974,58.031204,1842200
2010-01-28,73.283997,73.524513,71.165588,71.267342,56.691898,1456500
2010-01-29,71.369102,71.776131,70.222015,70.268272,55.897163,2528100
2010-02-01,70.906570,71.304344,69.685478,71.054581,56.522667,2507200
2010-02-02,71.091583,71.822388,70.305275,70.878815,56.382839,1597300
2010-02-03,70.508789,71.202591,70.027756,70.481033,56.066402,1322600
2010-02-04,69.861237,70.268272,68.140610,68.168365,54.226723,1612400
2010-02-05,62.580944,63.987049,60.175762,63.496761,50.510540,10094300
2010-02-08,63.561516,64.930618,62.923218,63.228493,50.297142,3684300
2010-02-09,62.802959,63.691029,62.414433,62.858463,50.002789,4046300
2010-02-10,63.922295,63.922295,62.062904,63.108234,50.201488,4041300
2010-02-11,63.200741,63.913044,62.442184,63.274746,50.333942,3649100
2010-02-12,62.599445,64.024055,61.979649,63.395004,50.429611,3714400
