Revenue,Mou,Overage,Roam,Changem,Months,Uniqsubs,Actvsubs,Eqpdays,Customer,Creditde,Refurb,Setprcm,Retcall,Churn
38,7.5,0,0,-1.5,60,1,1,1812,1000004,0,0,1,0,0
37.99,71,0,0,146,53,1,1,1597,1000060,0,0,1,0,0
90.25,951.5,161,0,308.5,54,1,1,1475,1000103,0,0,0,0,1
90.6125,1151.25,21.5,0,224.75,54,4,2,1599,1000107,0,0,0,0,1
30,17.5,0,0,-12.5,55,1,1,1669,1000161,0,0,1,0,1
117.12,489.5,140.5,0,506.5,51,6,2,279,1000183,0,0,0,1,1
44.96,3584.25,1094.25,0,-1037.25,51,2,1,489,1000203,0,0,0,0,1
111.6975,143.25,0,0,-36.25,53,2,2,1592,1000214,0,0,1,0,1
29.99,46.5,0,0,20.5,52,1,1,1441,1000294,0,0,0,1,1
10,0,0,0,0,54,1,1,1636,1000298,0,0,1,1,1
60.3425,392.25,74.5,0,-91.25,48,1,1,1179,1000404,0,1,0,0,1
30.485,47.25,0,0,-7.25,52,7,4,1554,1000429,0,0,1,0,1
43.8275,409,16,0,-289,47,2,2,1442,1000460,0,0,1,0,1
56.2775,483,43.5,0,37,51,1,1,1548,1000482,0,0,1,0,1
50,0,0,0,0,51,1,1,1535,1000554,0,0,1,0,1
5.045,0,0,0,0,47,3,1,1004,1000605,0,0,0,0,1
53.425,77.25,0,23.475,-70.25,53,1,1,1592,1000608,0,0,1,0,1
559.79,6336.25,4320.75,0,135.75,51,2,2,162,1000652,0,0,0,0,0
5,0,0,0,0,53,1,1,1584,1000695,0,0,1,1,1
36.25,38.75,18.5,0,-17.75,51,1,1,1523,1000702,0,0,1,0,1
265.665,2613,962,0.0975,-154,46,2,1,212,1000734,0,1,0,1,0
80.2575,296.75,108.25,2.93,-66.75,50,2,2,1515,1000742,0,0,1,0,1
40,108.25,0,0,46.75,48,1,1,1462,1000795,0,0,1,0,1
10,2.5,0,0,-1.5,50,3,1,1503,1000818,0,0,1,0,1
79.5625,565,158.25,0,75,49,1,1,1462,1000872,0,0,0,0,1
74.44,391.75,10,0,-391.75,47,2,1,1377,1000910,0,0,0,0,0
32.49,31.75,0,0,-30.75,50,3,2,1520,1001018,0,0,1,0,0
51.22,114.5,0,0,-25.5,44,1,1,1346,1001046,0,0,1,1,1
10.0975,19.25,0,0.0975,-19.25,46,1,1,1406,1001052,0,0,0,0,0
30,12,0,0,7,50,1,1,1506,1001099,0,0,1,0,1
33.24,24.5,0,0,-8.5,46,3,2,1396,1001111,0,0,1,0,0
30.2375,189.75,0,0,-1.75,50,1,1,741,1001162,0,1,0,1,0
47.5,280.5,0,0,-279.5,49,1,1,1490,1001205,0,0,1,0,1
59.95,0,0,0,0,45,1,1,1382,1001217,0,0,1,0,1
30.62,130.75,0,0,-66.75,45,1,1,1378,1001247,0,0,1,0,1
30.2475,0.75,0,0.2575,2.25,47,1,0,1422,1001262,0,0,1,0,0
19.95,10.25,0,0,5.75,45,1,1,1375,1001276,0,0,1,0,0
52.8225,320.75,119.75,0,77.25,47,1,1,1419,1001301,0,0,1,0,1
20,15,0,0,1,49,1,1,1472,1001392,0,0,1,0,1
26.8425,55,0,6.035,-55,49,2,2,1471,1001408,0,0,1,1,1
63.6,515.5,79,0,-11.5,49,1,1,1471,1001416,0,0,1,0,0
87.1625,318.75,159.75,0,60.25,43,1,1,986,1001464,0,1,0,0,1
16.99,3,0,0,-3,49,1,1,1467,1001506,0,0,1,0,0
29.99,52,0,0,18,45,2,1,1357,1001532,0,0,1,0,1
96.9125,461.75,257.75,0,-35.75,47,1,1,1403,1001537,0,0,1,0,0
19.43333333,20.66666667,4.333333333,0,-15.00692815,43,1,1,784,1001541,0,0,0,1,0
45.5625,101.5,69.25,0,-0.5,45,1,1,1356,1001549,0,0,1,0,1
10,0,0,0,-15.00692815,45,1,1,1009,1001579,0,0,0,1,1
48.9325,517,43.75,0,-172,44,1,1,1347,1001646,0,0,1,1,0
135.13,711,280.5,0,-202,46,1,1,1390,1001681,0,0,1,0,1
40.07,80.75,28,0,-80.75,42,1,1,1278,1001710,0,0,1,1,1
30,93,0,0,0,44,2,1,1292,1001765,0,0,0,0,1
793.05,4661,2976.25,0,-2785,48,1,1,406,1001811,0,0,0,0,0
36.4175,108.75,12,0,-22.75,47,1,1,1415,1001833,0,0,1,0,1
69.10666667,192,134,0,-15.00692815,48,1,1,1430,1001836,0,0,1,1,1
30.2475,63.5,0,0,3.5,42,1,1,1284,1002076,0,1,1,0,1
20.5975,35.5,9.75,0,-23.5,46,1,1,1378,1002145,0,0,0,0,1
22.7625,6.75,0,0,1.25,39,1,1,1179,1002344,0,0,1,1,1
29.99,92,0,0,-2,40,1,1,1231,1002422,0,0,1,1,0
40.5575,109.5,0,6.93,-60.5,40,2,1,1214,1002532,0,0,0,0,1
16.14,4.75,0,0,-4.75,44,1,1,1324,1002554,0,0,1,1,1
23.1225,171,0,0,12,38,1,1,1144,1002608,0,0,0,1,1
20.0725,39.75,2,0,13.25,38,1,1,1142,1002645,0,0,1,1,1
49.605,264.5,56.25,0,-264.5,40,3,2,519,1002662,0,1,0,1,1
58.2725,310.25,58.5,0,26.75,37,2,2,1138,1002681,0,0,1,1,1
19.59,36,6.25,0,-2,37,1,1,1117,1002855,0,0,1,1,1
58.63411388,513.9735097,40.86313317,1.228694398,-15.00692815,43,3,2,1245,1002860,0,0,0,0,1
87.6625,410,93.75,33.425,-407,37,1,1,1113,1002890,0,0,1,0,1
84.6275,227.5,0,0,16.5,43,3,2,1282,1002897,0,1,1,0,1
25.75,20.75,20.75,0,-20.75,42,1,1,1272,1002998,0,0,1,1,1
30.54,12.75,0,0,-8.75,40,1,1,1205,1003055,0,0,1,1,1
30.39,192.25,0,0.39,-92.25,40,1,1,1185,1003182,0,0,0,0,1
84.02,375.5,152.25,0,-4.5,42,2,2,1253,1003201,0,0,1,0,1
29.9075,8,0,0,-4,40,4,2,1192,1003204,0,0,1,0,0
16.99,45,0,0,-10,42,1,1,1005,1003282,0,1,0,0,0
12.7375,112.75,0,2.7375,38.25,37,5,3,1139,1003386,0,0,1,0,1
20.0325,69,3,0,92,39,2,2,1181,1003489,0,0,1,1,0
50.2825,354.75,0,0.2925,110.25,39,1,1,1181,1003506,0,0,1,1,0
16.99,0,0,0,0,41,4,2,1242,1003519,0,0,1,0,1
86.97,192.75,0,69.98,547.25,39,1,1,1180,1003577,0,0,1,0,1
40.7225,204.25,28.75,0,-2.25,39,4,1,1177,1003691,0,0,1,0,1
92.4975,207,0,39.1075,30,37,1,1,1131,1003697,0,0,1,0,1
81.1925,2027.75,161,0,-1147.75,39,4,1,64,1003704,0,1,0,1,1
217.32,1278.25,426,4.875,-461.25,35,5,5,1062,1003793,0,0,1,0,0
22.5425,0,0,0,0,35,2,2,1061,1003822,0,0,1,1,1
11.39666667,165.6666667,0,0,-15.00692815,41,1,1,817,1003961,0,0,0,1,1
5.295,8.5,0.5,0,-6.5,35,1,1,1051,1003979,0,0,1,1,0
36.975,206.75,19.25,0,-206.75,38,3,3,465,1004085,0,1,0,1,0
