mnth,net_sales
2006-01,536
2006-02,541
2006-03,569
2006-04,554
2006-05,563
2006-06,569
2006-07,590
2006-08,590
2006-09,575
2006-10,553
2006-11,537
2006-12,557
2007-01,562
2007-02,571
2007-03,584
2007-04,572
2007-05,574
2007-06,609
2007-07,621
2007-08,633
2007-09,600
2007-10,582
2007-11,563
2007-12,585
2008-01,587
2008-02,587
2008-03,627
2008-04,626
2008-05,620
2008-06,634
2008-07,655
2008-08,663
2008-09,628
2008-10,602
2008-11,571
2008-12,592
2009-01,595
2009-02,579
2009-03,626
2009-04,618
2009-05,625
2009-06,655
2009-07,693
2009-08,684
2009-09,650
2009-10,620
2009-11,594
2009-12,620
2010-01,633
2010-02,624
2010-03,658
2010-04,660
2010-05,661
2010-06,706
2010-07,755
2010-08,738
2010-09,703
2010-10,665
2010-11,628
2010-12,669
2011-01,675
2011-02,668
2011-03,708
2011-04,704
2011-05,709
2011-06,765
2011-07,804
2011-08,796
2011-09,746
2011-10,697
2011-11,662
2011-12,697
2012-01,706
2012-02,692
2012-03,747
2012-04,739
2012-05,746
2012-06,813
2012-07,856
2012-08,858
2012-09,795
2012-10,738
2012-11,696
2012-12,727
2013-01,731
2013-02,709
2013-03,753
2013-04,739
2013-05,754
2013-06,826
2013-07,882
2013-08,896
2013-09,795
2013-10,750
2013-11,701
2013-12,728
2014-01,751
2014-02,733
2014-03,797
2014-04,787
2014-05,811
2014-06,863
2014-07,939
2014-08,950
2014-09,854
2014-10,798
2014-11,753
2014-12,796
2015-01,808
2015-02,782
2015-03,810
2015-04,852
2015-05,863
2015-06,926
2015-07,1013
2015-08,997
2015-09,899
2015-10,852
2015-11,781
2015-12,823
