_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1,173911934,18043229,10,2018-03-07T11:11:00,"900 Block Berkshire Ave Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT,2709 Harassment (Non-Specific),1918,,,0.0,0.0
2,-3025023287,18030094,99,2018-02-16T09:10:00,"4200 Block 5th Ave Pittsburgh, PA 15213",N,North Oakland,4,INDUSTRIAL ACCIDENT,9491 Industrial Accident,403,,,-79.9531933387615,40.4443022890866
3,173112511,18034373,0,2018-02-22T11:48:00,"Perrysville Ave & Delaware St Pittsburgh, PA 15214",N,Perry North,1,99,8106 Shots Fired,2602,,,-80.0117900411725,40.4796815390237
4,173116418,18034380,0,2018-02-22T12:05:00,"3100 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington Heights,3,99,9999 9999 - (Misc. Incident): ,1604,,,-79.9641061122871,40.417531267435
5,172566354,18028506,10,2018-02-14T01:52:00,"700 Block Johnston Ave Pittsburgh, PA 15207",Y,Glen Hazel,4,SIMPLE ASSAULT,2701 Simple Assault. / 2606(a) Aggravated Assault on Unborn Child,1504,,,-79.9334110064229,40.4057884385313
6,172571510,18028570,10,2018-02-14T04:50:00,"300 Block S Aiken Ave Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours",806,,,-79.9379235442122,40.461777737482
7,-3139021030,18028627,99,2018-02-14T08:28:00,"500 Block McClintock Ave Pittsburgh, PA 15212",N,Garfield,1,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,1114,,,-80.0138554530715,40.4631354226541
8,172623862,18028969,10,2018-02-14T18:50:00,"5500 Block Hays St Pittsburgh, PA 15206",Y,East Liberty,5,SIMPLE ASSAULT,2701 Simple Assault.,1113,,,-79.9295947800242,40.470440803835
9,173911854,18043223,5,2018-03-07T10:52:00,"700 Block Arlington Ave Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.,1706,,,-79.9924365134488,40.4263398204946
10,174028042,18044256,10,2018-03-09T00:05:00,"700 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault. / 5503 Disorderly Conduct.,1918,,,-80.0216923048651,40.3945831778377
