id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
0,The Java Tutorial: A Short Course on the Basics / Edition 6,"Raymond Gallardo,Scott Hommel,Sowmya Kannan,Joni Gordon,Sharon Biocca Zakhour",9780134034089,864,Addison-Wesley,2014,12,26
1,Java : Complete Java Programming Guide.,Harry. H. Chaudhary.,2940046303308,0,Harry & Associates.,2014,9,14
2,Java Programs to Accompany Programming Logic and Design / Edition 8,Jo Ann Smith,9781285867403,200,Cengage Learning,2014,3,3
3,Raspberry Pi with Java: Programming the Internet of Things (IoT),"Stephen Chin,James Weaver",9780071842013,336,McGraw-Hill Professional Publishing,2015,11,3
4,Java Generics and Collections: Speed Up the Java Development Process,"Maurice Naftalin,Philip Wadler",9780596527754,286,"O'Reilly Media, Incorporated",2006,10,1
5,Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",9780071835886,304,McGraw-Hill Professional Publishing,2014,9,9
6,Java SE 8 for the Really Impatient / Edition 1,Cay S. Horstmann,9780321927767,240,Addison-Wesley,2014,1,28
7,Programming Groovy 2: Dynamic Productivity for the Java Developer / Edition 1,Venkat Subramaniam,9781937785307,370,"Pragmatic Programmers, LLC, The",2013,7,22
8,"Mikrographie des Holzes der auf Java vorkommenden Baumarten, im Auftrage des Kolonial-Ministeriums...",Hindrik Haijo Janssonius,9781314978940,626,HardPress Publishing,2013,12,20
9,Using Pointers in Java,Aatif Ahmad Khan,9781494409869,44,CreateSpace Publishing,2013,12,8
10,"Algorithms in Java, Part 5: Graph Algorithms / Edition 3","Robert Sedgewick,Michael Schidlowsky,Michael Schindlowsky",9780201361216,497,Addison-Wesley,2003,7,15
11,"Nelles Guide to Indonesia - Sumatra, Java, Bali, Lombok, Sulawesi",Seven Hills Book Distributors,9783886183982,256,Nelles Verlag,1995,4,28
12,Think Java: How to Think Like a Computer Scientist,"Downey,Mayfield",9781491929568,252,"O'Reilly Media, Incorporated",2016,6,2
13,Mostly Java--A Dictionary Of Distributed Computing (5th Edition),John Hines,2940013560628,0,Hines Enterprises,2011,6,11
14,JavaFX Script: Dynamic Java Scripting for Rich Internet/Client-side Applications,James Weaver,9781590599457,200,Apress,2007,10,9
15,God Is Always Speaking: Stories from Spiritual Java,Kris Vallotton,9780768486711,15,"Destiny Image, Inc.",2012,6,28
16,"Cameron Mckenzie's SCJA Sun Certified Java Associate: Certification Study Guide for Jave 5, J2EE and J2ME Technology",Cameron W. McKenzie,9781598729023,408,Pulpjava,2007,6,28
17,Java Gently: Programming Principles Explained / Edition 3,"J. M. Bishop,Judy Bishop",9780201710502,688,Addison Wesley,2001,1,10
18,Simulation eines Hochregallagers in Java,Anika Erdmann,9783656073598,0,GRIN Verlag GmbH,2011,1,1
19,Doing Java: An Anthropological Detective Story,Niels Mulder,9789792111491,245,ATF Press,2006,12,31
20,Java: How to Program / Edition 2,"Harvey M. Deitel,Paul J. Deitel",9780138993948,1063,Prentice Hall Professional Technical Reference,1997,8,26
21,Beginning Java 2 SDK 1.4 Edition / Edition 1,"Ivor Horton,Wrox Author Team",9780764543654,1200,Wiley,2002,3,1
22,Java 2 Network Security,"Marco Pistoia,Ashok K. Ramani,Milind Nagnur,Deepak Gupta,Duane F. Reller",9780130155924,713,Pearson Education,1999,8,4
23,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",9780672329432,720,Sams,2007,6,8
24,"Mikrographie des Holzes der auf Java vorkommenden Baumarten, im Auftrage des Kolonial-Ministeriums...",Janssonius Hindrik Haijo 1874-,9781314715538,358,HardPress Publishing,2013,12,13
25,Java 2 in Record Time: Teach Yourself the 16 Essential Skills,Steven Holzner,9780782121711,553,"Wiley, John & Sons, Incorporated",1998,9,1
26,Big Java / Edition 3,Cay S. Horstmann,9780470105542,1248,Wiley,2007,3,23
27,Active Java: Object-Oriented Programming for the World Wide Web,"Adam Freeman,Katherine Harutunian,S. Mortimore,Darrel Ince",9780201403701,235,Addison-Wesley,1996,3,28
28,"Diary of a Working Clergyman in Australia and Tasmania, Kept During the Years 1850-1853; Including His Return to England by Way of Java, Singapore, Ce",John Davies Mereweather,9781407674704,430,HardPress Publishing,2012,1,10
29,"Struggling for the Umma: Changing Leadership Roles of Kiai in Jombang, East Java",Endang Turmudi,9781920942427,214,ANU E Press,2006,1,28
30,Student Value Edition for Java: An Introduction to Problem Solving and Programming / Edition 6,Walter Savitch,9780132773331,936,Pearson,2011,5,30
31,Art Of Java,"Herbert Schildt,James Holmes",9780072229714,388,McGraw-Hill/OsborneMedia,2003,7,25
32,Teach Yourself Internet Game Programming with Java in 21 Days,Michael Morrison,9781575211480,456,Sams,1996,9,20
33,"Game Maker Course Notes on Java, J2SE and J2ME Volume ONE: Introduction and Overview",HobbyPRESS,9781453870396,146,CreateSpace Publishing,2010,10,31
34,Women of the Kakawin World: Marriage and Sexuality in the Indic Courts of Java and Bali,Helen Creese,9780765601599,376,Taylor & Francis,2004,10,15
35,Java: How to Program / Edition 7,"Paul J. Deitel,H. M. Deitel,H. M. Deitell",9780132222204,1500,Prentice Hall,2007,1,10
36,Professional Java Security,GARMS,9781861004253,600,Apress,2001,5,24
37,"Java, Seine Gestalt, Pflanzendecke und Innere Bauart (Classic Reprint)",Franz Junghuhn,9781332357741,332,FB &c Ltd,2015,8,6
38,"Fundamentals of Java: AP* Computer Science Essentials for the A & AB Exams, Third Edition / Edition 3","Kenneth Lambert,Martin Osborne,Martin Osborne",9780619267230,848,Cengage Learning,2006,3,2
39,Die Orchideen Von Java V6 (1905),Johannes Jacobus Smith,9781120519801,682,Kessinger Publishing Company,2009,11,6
40,"Web Publishing: CGI, HTML 3.2, Java, Activex, Frongpage Unleashed",William R. Stanek,9781575211985,1501,Sams,1996,12,28
41,"Java, Sumatra, and the Other Islands of the Dutch East Indies;",Antoine Cabaton,9781290449656,472,HardPress Publishing,2012,8,1
42,Java for Programmers,Paul Deitel,9780132821551,1168,Pearson Education,2011,4,18
43,Route Transmissions & Control Applications and Java Web Services,Jahanzaib Imtiaz,9783836475068,128,VDM Verlag Dr. Mueller E.K.,2008,4,2
44,Object-Oriented Computation in C++ and Java: A Practical Guide to Design Patterns for Object-Oriented Computing,Conrad Weisert,9780133489255,144,Pearson Education,2013,7,15
45,Java and Its Challenge,Elizabeth Harper Brooks,9780217417303,98,General Books,2009,12,28
46,Java 2 For Dummies,Barry Burd,9780764568589,378,Wiley,2004,6,14
47,"Java Performance for Windows: Using Microsoft AFC, NFC, and XML with CD-ROM",Mark Watson,9781558605169,368,Elsevier Science & Technology Books,1998,9,8
48,Simulation eines Orderbuches: A java program,Christian Maywurm,9783640947546,0,GRIN Verlag GmbH,2011,1,1
49,Java Digital Signal Processing,"Douglas A. Lyon,Hayagriva V. Rao",9781558515680,480,"Wiley, John & Sons, Incorporated",1997,11,1
50,Programming Mobile Objects with Java with CD-ROM,"Jeff Nelson,Kathryn A. Malm,Theresa Hudson",9780471254065,601,Wiley,1999,1,11
51,"Platinum Edition Using HTML 3.2, Java 1.1, and CGI","Eric Ladd,Jim O'Donnell",9780789709325,1520,Macmillan Computer Publishing,1996,11,28
52,Concurrency: State Models and Java Programs / Edition 2,"Jeff Magee,Jeff Kramer",9780470093559,434,Wiley,2006,7,5
53,Entwicklung eines modularen Simulationsframeworks in Java 7,Winklewski Rene,9783639469455,192,OmniScriptum GmbH & Co. KG,2013,7,13
54,Natural Language Processing with Java and LingPipe Cookbook,"Breck Baldwin,Krishna Dayanidhi",9781783284672,312,Packt Publishing,2014,10,24
55,Les Damnes de Java. Tome 2,Mery-J,9782011756978,220,HACHETTE LIVRE - BNF,2013,6,12
56,Virtualizing and Tuning Large Scale Java Platforms,Emad Benjamin,9780133491203,272,VMware Press,2014,1,10
57,"Scientific Engineering for Distributed Java Applications: International Workshop, FIDJI 2002, Luxembourg, Luxembourg, November 28-29, 2002, Revised Papers","Nicolas Guelfi,Egidio Astesiano,Gianna Reggio",9783540006794,2003,Springer Berlin Heidelberg,2003,4,28
58,Java Programming with Oracle SQLJ,"Jason Price,Jonathan Gennick",9780596000875,400,"O'Reilly Media, Incorporated",2001,8,28
59,Inside Servlets: Server-Side Programming for the Java Platform / Edition 2,"Dustin R. Callaway,Danny Coward",9780201709063,912,Addison-Wesley,2001,4,27
60,"The Eastern Seas: Or, Voyages and Adventures in the Indian Archipelago, in 1832-33-34, Comprising a Tour of the Island of Java -- Visits to Borneo, the Malay Peninsula, Siam",George Windsor Earl,9781341225833,450,Palala Press,2015,9,2
61,Java 2: Von den Grundlagen bis zu Threads und Netzen,Ernst-Wolfgang Dieterich,9783486254235,440,De Gruyter,2001,9,19
62,"MyProgrammingLab with Pearson eText -- Access Card -- for Introduction to Java Programming, Brief Version / Edition 9",Y. Daniel Liang,9780132991568,768,Pearson,2012,3,6
63,Java 2 for Professional Developers,Mike Morgan,9780672316975,762,Sams,1999,6,18
64,"Airs, Duets, Etc. In The Law Of Java",George Colman,9781104608798,20,Kessinger Publishing Company,2009,6,13
65,Java Graphical User Interface Programming,Dr. Danny Poo,9781105236341,0,Lulu.com,2013,3,13
66,.NET Development for Java Programmers / Edition 1,"Paul Gibbons,Gary Cornell",9781590590386,432,Apress,2002,7,30
67,"Sawah Cultivation in Ancient Java: Aspects of Development During the Indo-Javanese Period, 5th to 15th Century",N. C. Van Setten van der Meer,9780708107676,188,"Australian National University, Faculty of Asian Studies",1997,2,1
68,The Stormrider Surf Guide Java and Bali,Bruce Sutherland,2940157789114,0,Low Pressure Ltd,2015,12,11
69,Introduction to Programming Using Java / Edition 2,"Rick Decker,Stuart Hirshfield",9780534371104,0,Cengage Learning,2000,1,1
70,Java and Databases,"Stephen M. Gorman,Oopsla",9781903996157,136,ISTE/Hermes Science Publishing,2003,1,28
71,From Jungle to Java,Arthur Keyser,9781480122741,100,CreateSpace Publishing,2012,10,15
72,"Computing with Java: Programs, Objects and Graphics / Edition 1",Art Gittleman,9781576760239,0,Addison-Wesley,1998,12,28
73,"Client Server Programming With Java and Corba, Second Edition with CD Rom / Edition 2","Robert Orfali,Dan Harkey",9780471245780,1072,Wiley,1998,3,28
74,Triptych Large Print Edition: a Mechanical Romance,Java Davis,9781505284492,156,CreateSpace Publishing,2014,11,29
75,Some Notes on Java: And Its Administration by the Dutch,Henry Scott Boys,9781505262643,104,CreateSpace Publishing,2014,11,28
76,The Complete Guide to Java Database Programming (Java Masters Series),"Mathew Siple,Matthew D. Siple,Siple",9780079132864,333,"McGraw-Hill Companies, The",1997,12,1
77,The Sics Java Port Project Automatic Translation Of A Large Object Oriented System From Smalltalk To Java,Skarsaune Martin,9783639073522,132,VDM Verlag,2008,10,6
78,"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland",9780596006761,266,"O'Reilly Media, Incorporated",2004,6,10
79,Neural Network Programming with Java,Alan Souza,9781785880902,244,"Packt Publishing, Limited",2015,12,31
80,"Java in the 14th Century: A Study in Cultural History The Nagara-Kertagama by Rakawi, Prapanca of Majapahit, 1356 A.D.",Rakawi Prapantja,9781597406475,572,"Scholarly Publishing Office, U of MI",2008,8,29
81,Mendut: Fabled Love Story of Java,Hank Harjo,9781410700452,508,Authorhouse,2003,2,28
82,Java 8 Programmer II Study Guide: Exam 1Z0-809,Esteban Herrera,2940153206363,0,Esteban Herrera,2016,4,7
83,"My Travels In China, Japan And Java, 1903 (1905)",Jagatjit Singh,9781120009951,340,Kessinger Publishing Company,2009,8,26
84,"Java Design: Objects, UML, and Process / Edition 1",Kirk Knoernschild,9780201750447,304,Pearson Education,2002,1,28
85,Java: An Object First Approach,Fintan Culwin,9780138584573,408,Prentice Hall Professional Technical Reference,1997,11,28
86,"The Java Bank = De Javasche Bank: a Short Description of Its Organisation, Operations and General Policy / Supplemented by Some Notes on the Monetary System of Netherlands India",Javasche Bank,9781313760904,94,HardPress Publishing,2013,1,28
87,Java Cryptography,Jonathan Knudsen,9781565924024,364,"O'Reilly Media, Incorporated",1998,5,8
88,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,9780132874748,288,Pearson Education,2012,3,16
89,E-Learning in der Elektronik: Der Java-Schaltungssimulator JVSpice,Vasili Kokits,9783899754858,176,"Peter Lang GmbH, Internationaler Verlag der Wissenschaften",2004,7,1
90,Java Transaction Design Strategies,Mark Richards,9781411695917,116,Lulu.com,2006,6,5
91,Java Programming Fundamentals: Problem Solving Through Object Oriented Analysis And Design,Premchand S. Nair,9781420065473,729,Taylor & Francis,2008,11,18
92,Java Development on PDAs: Developing Applications for PocketPC and Palm Devices,Daryl Wilding-McBride,9780201719543,238,Addison-Wesley,2003,6,4
93,XML and Java From Scratch,"Nicholas Chase,Jesse Liberty",9780789724762,496,Que,2001,3,19
94,Enterprise Java Security: Building Secure J2EE Applications,"Marco Pistoia,Nataraj Nagaratnam,Larry Koved,Anthony Nadalin",9780321118899,581,Addison-Wesley,2004,2,17
95,"The History of Java, Volume 2",Thomas Stamford Raffles,9781297695902,528,Andesite Press,2015,8,11
96,Java the UML Way: Integrating Object-Oriented Design and Programming,"Else Lervik,Vegard B. Havdal",9780470843864,754,Wiley,2002,6,26
97,Passport's Illustrated Guide to Bali and Java,Ben Davies,9780658001529,192,McGraw-Hill/Contemporary,2000,5,28
98,Calling Forth His Desires: Stories from Spiritual Java,Beni Johnson,9780768486704,15,"Destiny Image, Inc.",2012,6,28
99,"Wanderings Wonderings: India, Burma, Kashmir, Ceylon, Singapore, Java, Siam, Japan, Manila, Formosa, Korea, China, Cambodia, Australia, New Zealand, Alaska, the States (Classic Reprint)",J. J. Aubertin,9781330117620,564,FB &c Ltd,2015,6,16
100,Unified Software Engineering with Java / Edition 1,"Georges G. Merx,Ronald J. Norman",9780130473769,640,Prentice Hall,2006,6,26
101,Generic Java Client For Web Services (Jcows),"Marco Schmid,Alexis Reigel",9783639365702,68,VDM Verlag,2011,6,29
102,"A Selection of Books on the East: In the Same Series and Similarly Illustrated; British North Borneo, Burma, Ceylon, China, Delhi, Egypt, Holy Land, India, India History of India Homes of Japan, Japan History of Java, Kashmir, Korea, Siam",James Baikie,9781330252949,130,FB &c Ltd,2015,5,26
103,Data Structures and Other Objects Using Java / Edition 3,"Michael Main,M. Main",9780321375254,832,Addison Wesley,2005,10,1
104,Sun Certified Programmer & Developer for Java 2 Study Guide (Exam 310-035 & 310-027),"Katherine Sierra,Bert Bates",9780072226843,752,McGraw-Hill Osborne Media,2003,1,9
105,Java 2 Multimedia Cyber Classroom (CD) / Edition 3,"Harvey M. Deitel,Paul J. Deitel",9780130144942,0,Prentice Hall,1999,10,19
106,Java 2 Micro Edition: A Professional Developer's Guide,"Eric Gigu?re,Eric Giguere",9780471390657,0,Wiley,1900,11,1
107,Java-Based Mobile Agent Systems,Seyi Osunade,9783848499113,156,OmniScriptum GmbH & Co. KG,2012,5,28
108,Primeiros Passos Em Java Com Netbeans Para Leigos,Ricardo De Moraes,2940157972547,0,Clube de Autores,2015,12,3
109,"Java Software Solutions : Foundations of Program Design, Update, JavaPlace Edition / Edition 2","John Lewis (5),William Loftus,William Loftus,William Loftus",9780201750522,784,Pearson Education,1901,6,1
110,Advanced Java,Chris Laffra,9780135343487,288,Prentice Hall Professional Technical Reference,1996,1,28
111,A Complete Java Training Course: The Ultimate Cyber Classroom / Edition 2,"Paul Deitel,Paul J. Deitel,Deitel & Associates",9780137905690,1168,Prentice Hall Professional Technical Reference,1997,11,21
112,Light Therapy: Stories from Spiritual Java,Kevin Dedmon,9780768486681,15,"Destiny Image, Inc.",2012,6,28
113,The Great Cultures of the Isle of Java - Scholar's Choice Edition,F Fokkens,9781296385460,86,Scholar's Choice,2015,2,19
