Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.700001,41.040001,40.360001,40.380001,39.510933,1701700
2010-01-05,40.299999,40.310001,39.720001,40.139999,39.276100,1932400
2010-01-06,40.049999,40.779999,40.049999,40.490002,39.618572,1406200
2010-01-07,39.549999,40.540001,39.549999,40.480000,39.608776,1256800
2010-01-08,40.250000,40.820000,40.110001,40.639999,39.765324,960300
2010-01-11,40.720001,40.799999,40.090000,40.240002,39.373951,1038400
2010-01-12,39.430000,39.720001,38.820000,39.540001,38.689026,1910800
2010-01-13,39.500000,40.150002,39.410000,40.090000,39.227169,810000
2010-01-14,39.939999,39.939999,39.250000,39.560001,38.708584,1157600
2010-01-15,39.340000,39.660000,39.169998,39.310001,38.463963,738900
2010-01-19,39.299999,39.520000,39.049999,39.500000,38.649876,1295000
2010-01-20,38.750000,39.380001,38.380001,39.160000,38.317196,1865000
2010-01-21,39.340000,39.650002,38.950001,39.230000,38.385685,1297400
2010-01-22,39.130001,40.639999,39.130001,39.740002,38.884701,2629300
2010-01-25,40.009998,40.599998,40.000000,40.500000,39.628349,1396900
2010-01-26,40.480000,41.000000,40.259998,40.549999,39.677265,1084100
2010-01-27,40.590000,40.740002,39.950001,40.590000,39.716412,1203200
2010-01-28,40.500000,40.500000,39.669998,39.770000,38.914059,1206000
2010-01-29,39.990002,40.400002,39.419998,39.450001,38.600948,948500
2010-02-01,39.549999,40.509998,39.500000,40.490002,39.618572,1106600
2010-02-02,40.459999,41.349998,40.459999,41.189999,40.303497,1296200
2010-02-03,41.189999,41.380001,40.930000,41.189999,40.303497,1147600
2010-02-04,41.060001,41.730000,40.689999,40.930000,40.049099,1611600
2010-02-05,41.009998,41.130001,40.020000,40.720001,39.843613,1313200
2010-02-08,41.009998,41.740002,40.619999,40.810001,39.931675,1721900
2010-02-09,41.150002,41.720001,40.770000,41.570000,40.675331,1030000
2010-02-10,41.389999,42.849998,41.369999,42.330002,41.418957,1858600
2010-02-11,42.410000,43.099998,42.130001,42.549999,41.634239,1548600
2010-02-12,42.369999,42.810001,42.000000,42.810001,41.888641,1509800
2010-02-16,42.900002,42.980000,42.369999,42.630001,41.712509,1721200
2010-02-17,42.680000,43.080002,42.160000,42.880001,41.957130,2253400
2010-02-18,39.880001,40.349998,39.080002,40.150002,39.285881,7767100
2010-02-19,39.790001,40.340000,39.509998,40.000000,39.139111,2525300
2010-02-22,39.970001,40.459999,39.880001,40.240002,39.373951,1706100
2010-02-23,40.180000,40.509998,40.049999,40.220001,39.354393,1653500
2010-02-24,40.340000,40.529999,40.150002,40.459999,39.589222,1441500
2010-02-25,40.080002,40.900002,40.049999,40.730000,39.853413,1328800
2010-02-26,40.730000,40.910000,40.400002,40.799999,39.921883,1153800
2010-03-01,40.869999,41.450001,40.650002,41.299999,40.411129,1553400
2010-03-02,41.419998,41.709999,41.139999,41.340000,40.450268,1221000
2010-03-03,41.349998,41.759998,41.230000,41.490002,40.597042,1036600
2010-03-04,41.630001,42.000000,41.599998,41.779999,40.880806,1159700
2010-03-05,41.970001,42.290001,41.779999,42.290001,41.379826,1914300
2010-03-08,42.330002,42.340000,41.700001,42.099998,41.193916,3080000
2010-03-09,42.040001,42.360001,41.790001,41.939999,41.037357,2018700
2010-03-10,41.910000,42.279999,41.880001,42.130001,41.223270,1692400
2010-03-11,42.139999,42.419998,41.919998,42.380001,41.467884,1361500
2010-03-12,42.439999,42.549999,42.040001,42.180000,41.272190,1155000
2010-03-15,42.250000,42.290001,41.759998,42.080002,41.174351,1806300
2010-03-16,41.869999,42.650002,41.849998,42.299999,41.389614,843400
2010-03-17,42.470001,42.590000,42.110001,42.349998,41.438522,1653100
2010-03-18,42.380001,42.549999,42.060001,42.500000,41.585297,2674100
2010-03-19,43.259998,43.270000,42.470001,43.259998,42.328949,1915600
2010-03-22,43.169998,43.849998,43.020000,43.639999,42.700775,1125700
2010-03-23,43.770000,44.110001,43.660000,43.959999,43.013889,1447500
2010-03-24,43.709999,43.900002,43.360001,43.389999,42.514179,1290900
2010-03-25,43.610001,43.750000,43.020000,43.020000,42.151649,1332900
2010-03-26,42.910000,43.209999,42.029999,42.480000,41.622536,1590400
2010-03-29,42.650002,42.650002,42.000000,42.189999,41.338406,1278900
2010-03-30,42.169998,42.480000,42.029999,42.230000,41.377598,715600
2010-03-31,42.220001,42.500000,41.889999,41.919998,41.073845,1191200
2010-04-01,42.119999,42.459999,41.970001,42.360001,41.504963,627600
2010-04-05,42.459999,42.970001,42.419998,42.669998,41.808708,954500
